pair_id,matt_ref,luke_ref,matt_original_idx,luke_original_idx,score,lcs,matt_token_count,luke_token_count,tags
35,Matt 12:43,Luke 11:24,388,536,0.723668,0.909091,18,25,strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
36,Matt 12:44,Luke 11:25,389,537,0.463590,1.000000,16,6,moderate_parallel;matt_expands_or_luke_abbreviates;content_order_preserved
37,Matt 12:45,Luke 11:26,390,538,0.767182,0.933333,33,23,strong_parallel;matt_expands_or_luke_abbreviates;content_order_preserved;multi_lemma_overlap
38,Matt 23:25,Luke 11:39,796,551,0.428249,0.545455,22,26,moderate_parallel;multi_lemma_overlap
39,Matt 23:35,Luke 11:51,806,563,0.346588,0.500000,31,22,weak_parallel;matt_expands_or_luke_abbreviates
40,Matt 24:43,Luke 12:39,853,605,0.521288,0.727273,23,20,moderate_parallel;content_order_preserved;multi_lemma_overlap
41,Matt 24:44,Luke 12:40,854,606,0.679317,0.888889,16,14,strong_parallel;content_order_preserved;multi_lemma_overlap
42,Matt 24:45,Luke 12:42,855,608,0.456058,0.700000,23,26,moderate_parallel;content_order_preserved;multi_lemma_overlap
43,Matt 24:46,Luke 12:43,856,609,0.782611,0.857143,12,12,strong_parallel;content_order_preserved;multi_lemma_overlap
44,Matt 24:47,Luke 12:44,857,610,0.838452,1.000000,11,11,close_match;content_order_preserved
45,Matt 24:48,Luke 12:45,858,611,0.447738,0.833333,15,29,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
46,Matt 24:50,Luke 12:46,860,612,0.777346,1.000000,17,28,strong_parallel;luke_expands_or_matt_abbreviates;content_order_preserved;multi_lemma_overlap
47,Matt 25:30,Luke 13:28,891,653,0.371233,0.500000,19,29,weak_parallel;luke_expands_or_matt_abbreviates;multi_lemma_overlap
48,Matt 26:16,Luke 22:6,923,976,0.521526,0.750000,8,11,moderate_parallel;luke_expands_or_matt_abbreviates;content_order_preserved
49,Matt 26:68,Luke 22:64,975,1034,0.556421,0.800000,9,11,moderate_parallel;content_order_preserved
