pair,block_id,block_label,pair_count,avg_score,mark_span_verse_count,matt_span_verse_count,mark_unmatched_count,matt_unmatched_count,mark_token_count,matt_token_count,gap_before_mark_count,gap_before_matt_count,gap_category,mark_range,matt_range,representative_primary_pairs,mark_text_preview,matt_text_preview,direction_id,source,target,source_range,target_range,operations,burden_score,required_explanations,contrary_evidence,plausible_response_model,luke_span_verse_count,luke_unmatched_count,luke_token_count,gap_before_luke_count,luke_range,source_text_preview,target_text_preview
Mark↔Matthew,13,Mark Mark 6:14–Mark 7:3 / Matt Matt 14:2–Matt 15:2,30,0.376474,46.0,37.0,16.0,7.0,799.0,577.0,8.0,1.0,source_material_omitted_or_compressed_by_target,Mark 6:14–Mark 7:3,Matt 14:2–Matt 15:2,Mark 6:14~Matt 14:2; Mark 6:17~Matt 14:3; Mark 6:18~Matt 14:4; Mark 6:19~Matt 14:5; Mark 6:22~Matt 14:6,"Καὶ ἤκουσεν ὁ βασιλεὺς Ἡρῴδης, φανερὸν γὰρ ἐγένετο τὸ ὄνομα αὐτοῦ, καὶ ⸀ἔλεγον ὅτι Ἰωάννης ὁ βαπτίζων ⸂ἐγήγερται ἐκ νεκρῶν⸃, καὶ διὰ τοῦτο ἐνεργοῦσιν αἱ δυνάμεις ἐν αὐτῷ· ἄλλοι ⸀δὲ ἔλεγον ὅτι Ἠλίας ἐστίν· ἄλλοι δὲ ἔλεγον ὅτι ⸀προφήτης ὡς εἷς τῶν προφητῶν. ἀκούσας δὲ ⸀ὁ Ἡρῴδης ⸀ἔλεγεν· Ὃν ἐγὼ ἀπεκεφάλισα Ἰωάννην, οὗτος ⸀ἠγέρθη.","καὶ εἶπεν τοῖς παισὶν αὐτοῦ· Οὗτός ἐστιν Ἰωάννης ὁ βαπτιστής· αὐτὸς ἠγέρθη ἀπὸ τῶν νεκρῶν, καὶ διὰ τοῦτο αἱ δυνάμεις ἐνεργοῦσιν ἐν αὐτῷ. Ὁ γὰρ Ἡρῴδης κρατήσας τὸν Ἰωάννην ἔδησεν ⸀αὐτὸν καὶ ⸂ἐν φυλακῇ ἀπέθετο⸃ διὰ Ἡρῳδιάδα τὴν γυναῖκα Φιλίππου τοῦ ἀδελφοῦ αὐτοῦ, ἔλεγεν γὰρ ⸂αὐτῷ ὁ Ἰωάννης⸃· Οὐκ ἔξεστίν σοι ἔχειν αὐτήν·",mark_used_matthew,Matthew,Mark,Matt 14:2–Matt 15:2,Mark 6:14–Mark 7:3,expansion; mark_additions; tempo_intensification; mark_preserves_extra_material,,"Mark span is longer (799 vs 577); this requires expansion, vividization, or added detail. | Within the span Mark preserves more unmatched material (16 vs 7), which fits Markan expansion, retention, or de-grouping. | Mark has more tempo markers (5 vs 3); Matthew→Mark implies intensification or vividization. | Before this block Matthew lacks a Markan interval of 8 verses (Mark 6:6–Mark 6:13); Matthew→Mark fits Markan expansion, preservation, or non-Matthean material.",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.,,,,,,,
Mark↔Matthew,14,Mark Mark 7:9–Mark 7:29 / Matt Matt 15:3–Matt 15:28,15,0.384772,20.0,26.0,5.0,11.0,329.0,388.0,5.0,0.0,minor_gap_or_local_relocation,Mark 7:9–Mark 7:29,Matt 15:3–Matt 15:28,Mark 7:9~Matt 15:3; Mark 7:10~Matt 15:4; Mark 7:11~Matt 15:5; Mark 7:13~Matt 15:6; Mark 7:14~Matt 15:10,"Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε· Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,","ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν; ὁ γὰρ θεὸς ⸀εἶπεν· Τίμα τὸν πατέρα καὶ τὴν μητέρα, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· ὑμεῖς δὲ λέγετε· Ὃς ἂν εἴπῃ τῷ πατρὶ ἢ τῇ μητρί· Δῶρον ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,",matthew_used_mark,Mark,Matthew,Mark 7:9–Mark 7:29,Matt 15:3–Matt 15:28,expansion; matt_additions; tempo_smoothing; matt_nonuse_of_mark_gap,,"Matthew span is longer (388 tokens vs 329); this requires expansion, insertion, or fuller retelling. | Within the span Matthew has more unmatched verses (11 vs Mark 5), which fits added material or redistribution into the Matthean span. | Mark has more tempo markers εὐθύς/εὐθέως in this span (1 vs 0); Mark→Matthew implies tempo smoothing or de-intensification. | Before this block Mark has an unmatched interval of 5 verses (Mark 7:4–Mark 7:8) compared with 0 in Matthew.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,,,,,,,
Mark↔Matthew,14,Mark Mark 7:9–Mark 7:29 / Matt Matt 15:3–Matt 15:28,15,0.384772,20.0,26.0,5.0,11.0,329.0,388.0,5.0,0.0,minor_gap_or_local_relocation,Mark 7:9–Mark 7:29,Matt 15:3–Matt 15:28,Mark 7:9~Matt 15:3; Mark 7:10~Matt 15:4; Mark 7:11~Matt 15:5; Mark 7:13~Matt 15:6; Mark 7:14~Matt 15:10,"Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε· Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,","ὁ δὲ ἀποκριθεὶς εἶπεν αὐτοῖς· Διὰ τί καὶ ὑμεῖς παραβαίνετε τὴν ἐντολὴν τοῦ θεοῦ διὰ τὴν παράδοσιν ὑμῶν; ὁ γὰρ θεὸς ⸀εἶπεν· Τίμα τὸν πατέρα καὶ τὴν μητέρα, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· ὑμεῖς δὲ λέγετε· Ὃς ἂν εἴπῃ τῷ πατρὶ ἢ τῇ μητρί· Δῶρον ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς,",mark_used_matthew,Matthew,Mark,Matt 15:3–Matt 15:28,Mark 7:9–Mark 7:29,abbreviation; mark_omissions; tempo_intensification; mark_preserves_extra_material,,"Mark span is shorter (329 vs 388); this requires abbreviation, omission, or condensation. | Within the span Mark lacks 6 relative Matthean verses, which requires omission or stronger compression. | Mark has more tempo markers (1 vs 0); Matthew→Mark implies intensification or vividization. | Before this block Matthew lacks a Markan interval of 5 verses (Mark 7:4–Mark 7:8); Matthew→Mark fits Markan expansion, preservation, or non-Matthean material.",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.,,,,,,,
Mark↔Matthew,15,Mark Mark 8:2–Mark 8:20 / Matt Matt 15:32–Matt 16:10,15,0.341707,19.0,18.0,4.0,3.0,277.0,272.0,9.0,3.0,source_material_omitted_or_compressed_by_target,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,Mark 8:2~Matt 15:32; Mark 8:4~Matt 15:33; Mark 8:5~Matt 15:34; Mark 8:6~Matt 15:36; Mark 8:8~Matt 15:37,"Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν· καὶ ἐὰν ἀπολύσω αὐτοὺς νήστεις εἰς οἶκον αὐτῶν, ἐκλυθήσονται ἐν τῇ ὁδῷ· ⸂καί τινες⸃ αὐτῶν ⸀ἀπὸ μακρόθεν ⸀ἥκασιν. καὶ ἀπεκρίθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ὅτι Πόθεν τούτους δυνήσεταί τις ὧδε χορτάσαι ἄρτων ἐπʼ ἐρημίας;","Ὁ δὲ Ἰησοῦς προσκαλεσάμενος τοὺς μαθητὰς αὐτοῦ εἶπεν· Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον, ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν· καὶ ἀπολῦσαι αὐτοὺς νήστεις οὐ θέλω, μήποτε ἐκλυθῶσιν ἐν τῇ ὁδῷ. καὶ λέγουσιν αὐτῷ οἱ ⸀μαθηταί· Πόθεν ἡμῖν ἐν ἐρημίᾳ ἄρτοι τοσοῦτοι ὥστε χορτάσαι ὄχλον τοσοῦτον; καὶ λέγει αὐτοῖς ὁ Ἰησοῦς· Πόσους ἄρτους ἔχετε; οἱ δὲ εἶπαν· Ἑπτά, καὶ ὀλίγα ἰχθύδια.",matthew_used_mark,Mark,Matthew,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,length_neutral; matt_omissions; tempo_smoothing; matt_nonuse_of_mark_gap,,"Span lengths are close (277 vs 272); neither direction is decided by block length alone. | Within the span Mark has more unmatched verses (4 vs Matthew 3), which requires Matthew to compress, omit, or redistribute more material. | Mark has more tempo markers εὐθύς/εὐθέως in this span (1 vs 0); Mark→Matthew implies tempo smoothing or de-intensification. | Before this block Mark has an unmatched interval of 9 verses (Mark 7:30–Mark 8:1) compared with 3 in Matthew.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,,,,,,,
Mark↔Matthew,15,Mark Mark 8:2–Mark 8:20 / Matt Matt 15:32–Matt 16:10,15,0.341707,19.0,18.0,4.0,3.0,277.0,272.0,9.0,3.0,source_material_omitted_or_compressed_by_target,Mark 8:2–Mark 8:20,Matt 15:32–Matt 16:10,Mark 8:2~Matt 15:32; Mark 8:4~Matt 15:33; Mark 8:5~Matt 15:34; Mark 8:6~Matt 15:36; Mark 8:8~Matt 15:37,"Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν· καὶ ἐὰν ἀπολύσω αὐτοὺς νήστεις εἰς οἶκον αὐτῶν, ἐκλυθήσονται ἐν τῇ ὁδῷ· ⸂καί τινες⸃ αὐτῶν ⸀ἀπὸ μακρόθεν ⸀ἥκασιν. καὶ ἀπεκρίθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ὅτι Πόθεν τούτους δυνήσεταί τις ὧδε χορτάσαι ἄρτων ἐπʼ ἐρημίας;","Ὁ δὲ Ἰησοῦς προσκαλεσάμενος τοὺς μαθητὰς αὐτοῦ εἶπεν· Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον, ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν· καὶ ἀπολῦσαι αὐτοὺς νήστεις οὐ θέλω, μήποτε ἐκλυθῶσιν ἐν τῇ ὁδῷ. καὶ λέγουσιν αὐτῷ οἱ ⸀μαθηταί· Πόθεν ἡμῖν ἐν ἐρημίᾳ ἄρτοι τοσοῦτοι ὥστε χορτάσαι ὄχλον τοσοῦτον; καὶ λέγει αὐτοῖς ὁ Ἰησοῦς· Πόσους ἄρτους ἔχετε; οἱ δὲ εἶπαν· Ἑπτά, καὶ ὀλίγα ἰχθύδια.",mark_used_matthew,Matthew,Mark,Matt 15:32–Matt 16:10,Mark 8:2–Mark 8:20,length_neutral; mark_additions; tempo_intensification; mark_preserves_extra_material,,"Span lengths are close (277 vs 272); neither direction is decided by block length alone. | Within the span Mark preserves more unmatched material (4 vs 3), which fits Markan expansion, retention, or de-grouping. | Mark has more tempo markers (1 vs 0); Matthew→Mark implies intensification or vividization. | Before this block Matthew lacks a Markan interval of 9 verses (Mark 7:30–Mark 8:1); Matthew→Mark fits Markan expansion, preservation, or non-Matthean material.",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.,,,,,,,
Mark↔Matthew,16,Mark Mark 8:27–Mark 9:19 / Matt Matt 16:13–Matt 17:17,25,0.450842,31.0,33.0,6.0,8.0,585.0,645.0,6.0,2.0,minor_gap_or_local_relocation,Mark 8:27–Mark 9:19,Matt 16:13–Matt 17:17,Mark 8:27~Matt 16:13; Mark 8:28~Matt 16:14; Mark 8:29~Matt 16:16; Mark 8:30~Matt 16:20; Mark 8:31~Matt 16:21,"Καὶ ἐξῆλθεν ὁ Ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὰς κώμας Καισαρείας τῆς Φιλίππου· καὶ ἐν τῇ ὁδῷ ἐπηρώτα τοὺς μαθητὰς αὐτοῦ λέγων αὐτοῖς· Τίνα με λέγουσιν οἱ ἄνθρωποι εἶναι; οἱ δὲ ⸂εἶπαν αὐτῷ λέγοντες⸃ ⸀ὅτι Ἰωάννην τὸν βαπτιστήν, καὶ ἄλλοι Ἠλίαν, ἄλλοι δὲ ⸂ὅτι εἷς⸃ τῶν προφητῶν. καὶ αὐτὸς ⸂ἐπηρώτα αὐτούς⸃· Ὑμεῖς δὲ τίνα με λέγετε εἶναι; ⸀ἀποκριθεὶς ὁ Πέτρος λέγει αὐτῷ· Σὺ εἶ ὁ χριστός.","Ἐλθὼν δὲ ὁ Ἰησοῦς εἰς τὰ μέρη Καισαρείας τῆς Φιλίππου ἠρώτα τοὺς μαθητὰς αὐτοῦ λέγων· ⸀Τίνα λέγουσιν οἱ ἄνθρωποι εἶναι τὸν υἱὸν τοῦ ἀνθρώπου; οἱ δὲ εἶπαν· Οἱ μὲν Ἰωάννην τὸν βαπτιστήν, ἄλλοι δὲ Ἠλίαν, ἕτεροι δὲ Ἰερεμίαν ἢ ἕνα τῶν προφητῶν. λέγει αὐτοῖς· Ὑμεῖς δὲ τίνα με λέγετε εἶναι;",matthew_used_mark,Mark,Matthew,Mark 8:27–Mark 9:19,Matt 16:13–Matt 17:17,length_neutral; matt_additions; tempo_smoothing; terminology_shift; descripturalization,,"Span lengths are close (585 vs 645); neither direction is decided by block length alone. | Within the span Matthew has more unmatched verses (8 vs Mark 6), which fits added material or redistribution into the Matthean span. | Mark has more tempo markers εὐθύς/εὐθέως in this span (1 vs 0); Mark→Matthew implies tempo smoothing or de-intensification. | Mark uses βασιλεία τοῦ θεοῦ (1) while Matthew uses βασιλεία τῶν οὐρανῶν (1); Mark→Matthew implies terminology substitution. | Mark has more scriptural markers in-span (2 vs 0); Mark→Matthew would require their reduction.",Local changes still require redactional explanation.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,,,,,,,
Mark↔Matthew,16,Mark Mark 8:27–Mark 9:19 / Matt Matt 16:13–Matt 17:17,25,0.450842,31.0,33.0,6.0,8.0,585.0,645.0,6.0,2.0,minor_gap_or_local_relocation,Mark 8:27–Mark 9:19,Matt 16:13–Matt 17:17,Mark 8:27~Matt 16:13; Mark 8:28~Matt 16:14; Mark 8:29~Matt 16:16; Mark 8:30~Matt 16:20; Mark 8:31~Matt 16:21,"Καὶ ἐξῆλθεν ὁ Ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὰς κώμας Καισαρείας τῆς Φιλίππου· καὶ ἐν τῇ ὁδῷ ἐπηρώτα τοὺς μαθητὰς αὐτοῦ λέγων αὐτοῖς· Τίνα με λέγουσιν οἱ ἄνθρωποι εἶναι; οἱ δὲ ⸂εἶπαν αὐτῷ λέγοντες⸃ ⸀ὅτι Ἰωάννην τὸν βαπτιστήν, καὶ ἄλλοι Ἠλίαν, ἄλλοι δὲ ⸂ὅτι εἷς⸃ τῶν προφητῶν. καὶ αὐτὸς ⸂ἐπηρώτα αὐτούς⸃· Ὑμεῖς δὲ τίνα με λέγετε εἶναι; ⸀ἀποκριθεὶς ὁ Πέτρος λέγει αὐτῷ· Σὺ εἶ ὁ χριστός.","Ἐλθὼν δὲ ὁ Ἰησοῦς εἰς τὰ μέρη Καισαρείας τῆς Φιλίππου ἠρώτα τοὺς μαθητὰς αὐτοῦ λέγων· ⸀Τίνα λέγουσιν οἱ ἄνθρωποι εἶναι τὸν υἱὸν τοῦ ἀνθρώπου; οἱ δὲ εἶπαν· Οἱ μὲν Ἰωάννην τὸν βαπτιστήν, ἄλλοι δὲ Ἠλίαν, ἕτεροι δὲ Ἰερεμίαν ἢ ἕνα τῶν προφητῶν. λέγει αὐτοῖς· Ὑμεῖς δὲ τίνα με λέγετε εἶναι;",mark_used_matthew,Matthew,Mark,Matt 16:13–Matt 17:17,Mark 8:27–Mark 9:19,length_neutral; mark_omissions; tempo_intensification; terminology_shift; scripturalization,,"Span lengths are close (585 vs 645); neither direction is decided by block length alone. | Within the span Mark lacks 2 relative Matthean verses, which requires omission or stronger compression. | Mark has more tempo markers (1 vs 0); Matthew→Mark implies intensification or vividization. | The same contrast requires Matthew→Mark to replace βασιλεία τῶν οὐρανῶν with βασιλεία τοῦ θεοῦ. | Matthew→Mark would require added explicit citation markers (0→2).",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.,,,,,,,
Mark↔Matthew,17,Mark Mark 9:42–Mark 9:47 / Matt Matt 18:6–Matt 18:9,3,0.509813,4.0,4.0,1.0,1.0,113.0,120.0,22.0,14.0,source_material_omitted_or_compressed_by_target,Mark 9:42–Mark 9:47,Matt 18:6–Matt 18:9,Mark 9:42~Matt 18:6; Mark 9:45~Matt 18:8; Mark 9:47~Matt 18:9,"Καὶ ὃς ⸀ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν ⸀τούτων τῶν πιστευόντων ⸂εἰς ἐμέ⸃, καλόν ἐστιν αὐτῷ μᾶλλον εἰ περίκειται ⸂μύλος ὀνικὸς⸃ περὶ τὸν τράχηλον αὐτοῦ καὶ βέβληται εἰς τὴν θάλασσαν. Καὶ ἐὰν ⸀σκανδαλίζῃ σε ἡ χείρ σου, ἀπόκοψον αὐτήν· καλόν ⸂ἐστίν σε⸃ κυλλὸν ⸂εἰσελθεῖν εἰς τὴν ζωὴν⸃ ἢ τὰς δύο χεῖρας ἔχοντα ἀπελθεῖν εἰς τὴν γέενναν, εἰς τὸ πῦρ τὸ ⸀ἄσβεστον. καὶ ἐὰν ὁ πούς σου σκανδαλίζῃ σε, ἀπόκοψον αὐτόν· καλόν ἐστίν ⸀σε εἰσελθεῖν εἰς τὴν ζωὴν χωλὸν ἢ τοὺς δύο πόδας ἔχοντα βληθῆναι εἰς τὴν ⸀γέενναν.","Ὃς δʼ ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν τούτων τῶν πιστευόντων εἰς ἐμέ, συμφέρει αὐτῷ ἵνα κρεμασθῇ μύλος ὀνικὸς ⸀εἰς τὸν τράχηλον αὐτοῦ καὶ καταποντισθῇ ἐν τῷ πελάγει τῆς θαλάσσης. οὐαὶ τῷ κόσμῳ ἀπὸ τῶν σκανδάλων· ἀνάγκη ⸀γὰρ ἐλθεῖν τὰ σκάνδαλα, πλὴν οὐαὶ τῷ ⸀ἀνθρώπῳ διʼ οὗ τὸ σκάνδαλον ἔρχεται. Εἰ δὲ ἡ χείρ σου ἢ ὁ πούς σου σκανδαλίζει σε, ἔκκοψον ⸀αὐτὸν καὶ βάλε ἀπὸ σοῦ· καλόν σοί ἐστιν εἰσελθεῖν εἰς τὴν ζωὴν ⸂κυλλὸν ἢ χωλόν⸃, ἢ δύο χεῖρας ἢ δύο πόδας ἔχοντα βληθῆναι εἰς τὸ πῦρ τὸ αἰώνιον.",matthew_used_mark,Mark,Matthew,Mark 9:42–Mark 9:47,Matt 18:6–Matt 18:9,length_neutral; verbal_vividization; matt_nonuse_of_mark_gap,,Span lengths are close (113 vs 120); neither direction is decided by block length alone. | Matthew has a higher present-indicative ratio in the span (1.0 vs 0.8333); Mark→Matthew would require added present-tense vividness. | Before this block Mark has an unmatched interval of 22 verses (Mark 9:20–Mark 9:41) compared with 14 in Matthew.,Local changes still require redactional explanation.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,,,,,,,
Mark↔Matthew,17,Mark Mark 9:42–Mark 9:47 / Matt Matt 18:6–Matt 18:9,3,0.509813,4.0,4.0,1.0,1.0,113.0,120.0,22.0,14.0,source_material_omitted_or_compressed_by_target,Mark 9:42–Mark 9:47,Matt 18:6–Matt 18:9,Mark 9:42~Matt 18:6; Mark 9:45~Matt 18:8; Mark 9:47~Matt 18:9,"Καὶ ὃς ⸀ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν ⸀τούτων τῶν πιστευόντων ⸂εἰς ἐμέ⸃, καλόν ἐστιν αὐτῷ μᾶλλον εἰ περίκειται ⸂μύλος ὀνικὸς⸃ περὶ τὸν τράχηλον αὐτοῦ καὶ βέβληται εἰς τὴν θάλασσαν. Καὶ ἐὰν ⸀σκανδαλίζῃ σε ἡ χείρ σου, ἀπόκοψον αὐτήν· καλόν ⸂ἐστίν σε⸃ κυλλὸν ⸂εἰσελθεῖν εἰς τὴν ζωὴν⸃ ἢ τὰς δύο χεῖρας ἔχοντα ἀπελθεῖν εἰς τὴν γέενναν, εἰς τὸ πῦρ τὸ ⸀ἄσβεστον. καὶ ἐὰν ὁ πούς σου σκανδαλίζῃ σε, ἀπόκοψον αὐτόν· καλόν ἐστίν ⸀σε εἰσελθεῖν εἰς τὴν ζωὴν χωλὸν ἢ τοὺς δύο πόδας ἔχοντα βληθῆναι εἰς τὴν ⸀γέενναν.","Ὃς δʼ ἂν σκανδαλίσῃ ἕνα τῶν μικρῶν τούτων τῶν πιστευόντων εἰς ἐμέ, συμφέρει αὐτῷ ἵνα κρεμασθῇ μύλος ὀνικὸς ⸀εἰς τὸν τράχηλον αὐτοῦ καὶ καταποντισθῇ ἐν τῷ πελάγει τῆς θαλάσσης. οὐαὶ τῷ κόσμῳ ἀπὸ τῶν σκανδάλων· ἀνάγκη ⸀γὰρ ἐλθεῖν τὰ σκάνδαλα, πλὴν οὐαὶ τῷ ⸀ἀνθρώπῳ διʼ οὗ τὸ σκάνδαλον ἔρχεται. Εἰ δὲ ἡ χείρ σου ἢ ὁ πούς σου σκανδαλίζει σε, ἔκκοψον ⸀αὐτὸν καὶ βάλε ἀπὸ σοῦ· καλόν σοί ἐστιν εἰσελθεῖν εἰς τὴν ζωὴν ⸂κυλλὸν ἢ χωλόν⸃, ἢ δύο χεῖρας ἢ δύο πόδας ἔχοντα βληθῆναι εἰς τὸ πῦρ τὸ αἰώνιον.",mark_used_matthew,Matthew,Mark,Matt 18:6–Matt 18:9,Mark 9:42–Mark 9:47,length_neutral; verbal_smoothing; mark_preserves_extra_material,,"Span lengths are close (113 vs 120); neither direction is decided by block length alone. | Matthew→Mark would fit smoothing away from present-tense vividness (1.0→0.8333). | Before this block Matthew lacks a Markan interval of 22 verses (Mark 9:20–Mark 9:41); Matthew→Mark fits Markan expansion, preservation, or non-Matthean material.",Markan roughness/vividness and shorter discourse structure remain counter-pressure.,Markan epitome/abbreviation with action-narrative focus and deliberate non-use of Matthean discourse expansions.,,,,,,,
Mark↔Matthew,18,Mark Mark 10:6–Mark 10:31 / Matt Matt 19:4–Matt 19:30,20,0.461435,26.0,27.0,6.0,7.0,428.0,486.0,8.0,28.0,target_addition_or_interposition,Mark 10:6–Mark 10:31,Matt 19:4–Matt 19:30,Mark 10:6~Matt 19:4; Mark 10:7~Matt 19:5; Mark 10:9~Matt 19:6; Mark 10:11~Matt 19:9; Mark 10:13~Matt 19:13,"ἀπὸ δὲ ἀρχῆς κτίσεως ἄρσεν καὶ θῆλυ ἐποίησεν ⸀αὐτούς· ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ·","ὁ δὲ ἀποκριθεὶς ⸀εἶπεν· Οὐκ ἀνέγνωτε ὅτι ὁ ⸀κτίσας ἀπʼ ἀρχῆς ἄρσεν καὶ θῆλυ ἐποίησεν αὐτοὺς καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν; ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω.",matthew_used_mark,Mark,Matthew,Mark 10:6–Mark 10:31,Matt 19:4–Matt 19:30,length_neutral; matt_additions; terminology_shift; matt_interposition,,"Span lengths are close (428 vs 486); neither direction is decided by block length alone. | Within the span Matthew has more unmatched verses (7 vs Mark 6), which fits added material or redistribution into the Matthean span. | Mark uses βασιλεία τοῦ θεοῦ (5) while Matthew uses βασιλεία τῶν οὐρανῶν (3); Mark→Matthew implies terminology substitution. | Before this block Matthew has an inserted/repositioned interval of 28 verses (Matt 18:10–Matt 19:3) compared with 8 in Mark.",Matthew has large additions/interpositions in adjacent gaps; low-score/reordered pairs require strong Matthean redaction model.,Matthean expansion/discourse clustering/fulfillment framing around Mark-like sequence.,,,,,,,
