mark_ref	matt_ref	score	pair_classes	lemma_insertions	lemma_deletions	lemma_replacements	inserted_lemmas	deleted_lemmas	moved_lemmas	mark_text	matt_text
Mark 1:17	Matt 4:19	0.658052	mark_expands	0	3	0		ο;ιησους;γινομαι		καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων.	καὶ λέγει αὐτοῖς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς ἁλιεῖς ἀνθρώπων.
Mark 1:18	Matt 4:20	0.601287	substitution	0	0	3	ο;δε;ευθεως	και;ευθυς		καὶ ⸀εὐθὺς ἀφέντες τὰ ⸀δίκτυα ἠκολούθησαν αὐτῷ.	οἱ δὲ εὐθέως ἀφέντες τὰ δίκτυα ἠκολούθησαν αὐτῷ.
Mark 1:19	Matt 4:21	0.509798	matt_expands;reordering	12	2	1	εκειθεν;αλλος;δυο;αδελφος;μετα;ζεβεδαιος;ο;πατηρ;αυτος;αυτος;και;καλεω;αυτος	ολιγος;και;αυτος	αυτος;και	καὶ ⸀προβὰς ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα,	Καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ ἐκάλεσεν αὐτούς.
Mark 1:20	Matt 4:22	0.202243	substitution;reordering	6	5	9	ο;δε;ευθεως;αφιημι;ο;πλοιον;ακολουθεω	ευθυς;καλεω;αυτος;και;αφιημι;ζεβεδαιος;εν;ο;πλοιον;μετα;ο;μισθωτος;απερχομαι;οπισω	αφιημι;ο;πλοιον	καὶ ⸀εὐθὺς ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.	οἱ δὲ εὐθέως ἀφέντες τὸ πλοῖον καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν αὐτῷ.
Mark 1:21	Matt 4:23	0.117302	matt_expands;substitution;reordering	17	0	7	περιαγω;εν;ολος;γαλιλαια;εν;αυτος;και;κηρυσσω;ο;ευαγγελιον;ο;βασιλεια;και;θεραπευω;πας;νοσος;και;πας;μαλακια;εν;ο;λαος	εισπορευομαι;εις;καφαρναουμ;και;ευθυς;σαββατον;εις	και	Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ ⸀εὐθὺς τοῖς σάββασιν ⸂ἐδίδασκεν εἰς τὴν συναγωγήν⸃.	Καὶ περιῆγεν ⸂ἐν ὅλῃ τῇ Γαλιλαίᾳ⸃, διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.
Mark 1:22	Matt 7:29	0.714092	mark_expands;reordering	1	6	0	αυτος	και;εκπλησσομαι;επι;ο;διδαχη;αυτος	αυτος	καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.	ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς ⸀αὐτῶν.
Mark 1:40	Matt 8:2	0.409025	mark_expands;substitution;reordering	0	5	6	ιδου;λεπρος;προσερχομαι;προσκυνεω;κυριος	ερχομαι;προς;λεπρος;παρακαλεω;αυτος;και;γονυπετεω;αυτος;οτι	λεπρος	Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι.	καὶ ἰδοὺ λεπρὸς ⸀προσελθὼν προσεκύνει αὐτῷ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι.
Mark 1:41	Matt 8:3	0.607865	matt_expands;reordering	7	4	0	απτω;και;ευθεως;καθαριζω;αυτος;ο;λεπρα	οργιζομαι;απτω;και;αυτος	απτω;αυτος;και	⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι·	καὶ ἐκτείνας τὴν χεῖρα ἥψατο ⸀αὐτοῦ λέγων· Θέλω, καθαρίσθητι· καὶ εὐθέως ἐκαθαρίσθη αὐτοῦ ἡ λέπρα.
Mark 1:44	Matt 8:4	0.712436	substitution	2	2	2	ο;ιησους;δωρον	μηδεις;περι;καθαρισμος;συ		καὶ λέγει αὐτῷ· Ὅρα μηδενὶ μηδὲν εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.	καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Ὅρα μηδενὶ εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.
Mark 2:1	Matt 8:5	0.186444	substitution	0	1	9	δε;αυτος;προσερχομαι;αυτος;εκατονταρχος;παρακαλεω;αυτος	και;παλιν;δια;ημερα;ακουω;οτι;εν;οικος;ειμι		Καὶ ⸀εἰσελθὼν πάλιν εἰς Καφαρναοὺμ διʼ ⸀ἡμερῶν ἠκούσθη ὅτι ⸂ἐν οἴκῳ⸃ ἐστίν·	⸂Εἰσελθόντος δὲ αὐτοῦ⸃ εἰς Καφαρναοὺμ προσῆλθεν αὐτῷ ἑκατόνταρχος παρακαλῶν αὐτὸν
Mark 2:5	Matt 9:2	0.590619	matt_expands	9	0	0	και;ιδου;προσφερω;αυτος;παραλυτικος;επι;κλινη;βαλλω;θαρσεω			⸂καὶ ἰδὼν⸃ ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ παραλυτικῷ· Τέκνον, ⸂ἀφίενταί σου⸃ αἱ ⸀ἁμαρτίαι.	Καὶ ἰδοὺ προσέφερον αὐτῷ παραλυτικὸν ἐπὶ κλίνης βεβλημένον. καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν εἶπεν τῷ παραλυτικῷ· Θάρσει, τέκνον· ⸀ἀφίενταί ⸂σου αἱ ἁμαρτίαι⸃.
Mark 2:6	Matt 9:3	0.109288	substitution;reordering	0	0	9	και;ιδου;λεγω;εαυτου;ουτος;βλασφημεω	ειμι;δε;εκει;καθημαι;και;διαλογιζομαι;ο;καρδια;αυτος	και	ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν·	καὶ ἰδού τινες τῶν γραμματέων εἶπαν ἐν ἑαυτοῖς· Οὗτος βλασφημεῖ.
Mark 2:8	Matt 9:4	0.159573	mark_expands;substitution	0	5	7	οραω;ενθυμησις;ινατι;ενθυμεομαι;πονηρος	ευθυς;επιγινωσκω;πνευμα;οτι;ουτως;διαλογιζομαι;εν;εαυτου;αυτος;τις;ουτος;διαλογιζομαι		καὶ ⸀εὐθὺς ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι ⸀οὕτως διαλογίζονται ἐν ἑαυτοῖς ⸀λέγει αὐτοῖς· Τί ταῦτα διαλογίζεσθε ἐν ταῖς καρδίαις ὑμῶν;	καὶ ⸀εἰδὼς ὁ Ἰησοῦς τὰς ἐνθυμήσεις αὐτῶν εἶπεν· ⸀Ἱνατί ἐνθυμεῖσθε πονηρὰ ἐν ταῖς καρδίαις ὑμῶν;
Mark 2:9	Matt 9:5	0.625912	mark_expands	1	7	0	γαρ	ο;παραλυτικος;αιρω;ο;κραβαττος;συ;και		τί ἐστιν εὐκοπώτερον, εἰπεῖν τῷ παραλυτικῷ· ⸀Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ⸀Ἔγειρε καὶ ἆρον ⸂τὸν κράβαττόν σου⸃ καὶ περιπάτει;	τί γάρ ἐστιν εὐκοπώτερον, εἰπεῖν· ⸀Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ⸀Ἔγειρε καὶ περιπάτει;
Mark 2:10	Matt 9:6	0.601217	matt_expands	12	0	0	τοτε;εγειρω;αιρω;συ;ο;κλινη;και;υπαγω;εις;ο;οικος;συ			ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ⸂ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας⸃— λέγει τῷ παραλυτικῷ·	ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας— τότε λέγει τῷ παραλυτικῷ· ⸀Ἐγερθεὶς ἆρόν σου τὴν κλίνην καὶ ὕπαγε εἰς τὸν οἶκόν σου.
Mark 2:11	Matt 9:7	0.260199	substitution;reordering	0	0	9	και;απερχομαι;αυτος	συ;λεγω;αιρω;ο;κραβαττος;συ;και;υπαγω;συ	και	Σοὶ λέγω, ⸀ἔγειρε ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου.	καὶ ἐγερθεὶς ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ.
Mark 2:12	Matt 9:8	0.141355	substitution;reordering	0	0	18	οραω;δε;οχλος;φοβεομαι;ο;διδωμι;εξουσια;τοιουτος;ο;ανθρωπος	και;εγειρω;και;ευθυς;αιρω;κραβαττος;εξερχομαι;εμπροσθεν;πας;ωστε;εξιστημι;πας;λεγω;οτι;ουτως;ουδεποτε;οραω	οραω	καὶ ἠγέρθη ⸂καὶ εὐθὺς⸃ ἄρας τὸν κράβαττον ἐξῆλθεν ⸀ἔμπροσθεν πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν λέγοντας ὅτι ⸂Οὕτως οὐδέποτε⸃ εἴδομεν.	ἰδόντες δὲ οἱ ὄχλοι ⸀ἐφοβήθησαν καὶ ἐδόξασαν τὸν θεὸν τὸν δόντα ἐξουσίαν τοιαύτην τοῖς ἀνθρώποις.
Mark 2:14	Matt 9:9	0.480507	matt_expands;substitution;reordering	5	0	4	ο;ιησους;εκειθεν;ανθρωπος;μαθθαιος;λεγω	λευι;ο;ο;αλφαιος	ο	καὶ παράγων εἶδεν Λευὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ τὸ τελώνιον, καὶ λέγει αὐτῷ· Ἀκολούθει μοι. καὶ ἀναστὰς ἠκολούθησεν αὐτῷ.	Καὶ παράγων ὁ Ἰησοῦς ἐκεῖθεν εἶδεν ἄνθρωπον καθήμενον ἐπὶ τὸ τελώνιον, Μαθθαῖον λεγόμενον, καὶ λέγει αὐτῷ· Ἀκολούθει μοι· καὶ ἀναστὰς ἠκολούθησεν αὐτῷ.
Mark 2:15	Matt 9:10	0.561783	mark_expands	3	8	0	ανακειμαι;ιδου;ερχομαι	κατακειμαι;αυτος;ειμι;γαρ;πολυς;και;ακολουθεω;αυτος		Καὶ ⸀γίνεται κατακεῖσθαι αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ, ἦσαν γὰρ πολλοὶ καὶ ⸀ἠκολούθουν αὐτῷ.	Καὶ ἐγένετο αὐτοῦ ἀνακειμένου ἐν τῇ οἰκίᾳ, ⸀καὶ ἰδοὺ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ ἐλθόντες συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ.
Mark 2:16	Matt 9:11	0.52239	mark_expands;substitution;reordering	3	8	4	οραω;δια;τις;ο;διδασκαλος;συ	ο;γραμματευς;οραω;οτι;εσθιω;μετα;ο;αμαρτωλος;και;τελωνης;οτι	ο;οραω	καὶ οἱ γραμματεῖς ⸂τῶν Φαρισαίων⸃ ⸀ἰδόντες ⸂ὅτι ἐσθίει⸃ μετὰ τῶν ⸂ἁμαρτωλῶν καὶ τελωνῶν⸃ ἔλεγον τοῖς μαθηταῖς αὐτοῦ· ⸀Ὅτι μετὰ τῶν ⸂τελωνῶν καὶ ἁμαρτωλῶν⸃ ⸀ἐσθίει;	καὶ ἰδόντες οἱ Φαρισαῖοι ⸀ἔλεγον τοῖς μαθηταῖς αὐτοῦ· Διὰ τί μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίει ὁ διδάσκαλος ὑμῶν;
Mark 2:17	Matt 9:12	0.60524	mark_expands;substitution;reordering	0	10	2	ο;δε	και;ο;ιησους;αυτος;οτι;ου;ερχομαι;καλεω;δικαιος;αλλα;αμαρτωλος	ο	καὶ ἀκούσας ὁ Ἰησοῦς λέγει αὐτοῖς ⸀ὅτι Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλʼ οἱ κακῶς ἔχοντες· οὐκ ἦλθον καλέσαι δικαίους ἀλλὰ ⸀ἁμαρτωλούς.	ὁ ⸀δὲ ἀκούσας ⸀εἶπεν· Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλὰ οἱ κακῶς ἔχοντες.
Mark 2:18	Matt 9:14	0.436739	matt_expands;substitution;reordering	5	1	19	τοτε;προσερχομαι;αυτος;λεγω;δια;τις;εγω;πολυς;συ	και;ειμι;και;ερχομαι;και;λεγω;αυτος;δια;τις;ο;μαθητης;ιωαννης;και;ο;μαθητης;ο;φαρισαιος;νηστευω;σος	αυτος;δια;λεγω;τις	Καὶ ἦσαν οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀Φαρισαῖοι νηστεύοντες. καὶ ἔρχονται καὶ λέγουσιν αὐτῷ· Διὰ τί οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀μαθηταὶ τῶν Φαρισαίων νηστεύουσιν, οἱ δὲ σοὶ μαθηταὶ οὐ νηστεύουσιν;	Τότε προσέρχονται αὐτῷ οἱ μαθηταὶ Ἰωάννου λέγοντες· Διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν ⸀πολλά, οἱ δὲ μαθηταί σου οὐ νηστεύουσιν;
Mark 2:20	Matt 9:15	0.519634	matt_expands;reordering	19	4	0	και;λεγω;αυτος;ο;ιησους;μη;δυναμαι;ο;υιος;ο;νυμφων;πενθεω;επι;οσος;μετα;αυτος;ειμι;ο;νυμφιος	εν;εκεινος;ο;ημερα	ο	ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν ἐν ⸂ἐκείνῃ τῇ ἡμέρᾳ⸃.	καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος πενθεῖν ἐφʼ ὅσον μετʼ αὐτῶν ἐστιν ὁ νυμφίος; ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν.
Mark 2:21	Matt 9:16	0.635736	substitution;reordering	4	5	3	δε;επιβαλλω;γαρ;αυτος;ιματιον	επιραπτω;ει;δε;μη;αυτος;καινος;ο;παλαιος	αυτος;δε	⸀Οὐδεὶς ἐπίβλημα ῥάκους ἀγνάφου ἐπιράπτει ἐπὶ ⸂ἱμάτιον παλαιόν⸃· εἰ δὲ μή, αἴρει τὸ πλήρωμα ⸀ἀπʼ αὐτοῦ τὸ καινὸν τοῦ παλαιοῦ, καὶ χεῖρον σχίσμα γίνεται.	οὐδεὶς δὲ ἐπιβάλλει ἐπίβλημα ῥάκους ἀγνάφου ἐπὶ ἱματίῳ παλαιῷ· αἴρει γὰρ τὸ πλήρωμα αὐτοῦ ἀπὸ τοῦ ἱματίου, καὶ χεῖρον σχίσμα γίνεται.
Mark 2:22	Matt 9:17	0.621467	matt_expands;substitution;reordering	6	2	3	ουδε;γε;εκχεω;απολλυμι;βαλλω;και;αμφοτεροι;συντηρεω	και;ουδεις;ο;οινος;απολλυμι	απολλυμι;και	καὶ οὐδεὶς βάλλει οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή, ⸂ῥήξει ὁ οἶνος⸃ τοὺς ἀσκούς, καὶ ὁ οἶνος ⸂ἀπόλλυται καὶ οἱ ἀσκοί⸃. ἀλλὰ οἶνον νέον εἰς ἀσκοὺς ⸀καινούς.	οὐδὲ βάλλουσιν οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή γε, ῥήγνυνται οἱ ἀσκοί, καὶ ὁ οἶνος ἐκχεῖται καὶ οἱ ἀσκοὶ ⸀ἀπόλλυνται· ἀλλὰ βάλλουσιν οἶνον νέον εἰς ἀσκοὺς καινούς, καὶ ἀμφότεροι συντηροῦνται.
Mark 2:23	Matt 12:1	0.394311	matt_expands;reordering	11	8	0	εκεινος;ο;καιρος;πορευομαι;ο;ιησους;δε;πειναω;και;και;εσθιω	και;γινομαι;αυτος;παραπορευομαι;και;οδος;ποιεω;ο	και;ο	Καὶ ἐγένετο ⸂αὐτὸν ἐν τοῖς σάββασιν παραπορεύεσθαι⸃ διὰ τῶν σπορίμων, καὶ ⸂οἱ μαθηταὶ αὐτοῦ ἤρξαντο⸃ ὁδὸν ποιεῖν τίλλοντες τοὺς στάχυας.	Ἐν ἐκείνῳ τῷ καιρῷ ἐπορεύθη ὁ Ἰησοῦς τοῖς σάββασιν διὰ τῶν σπορίμων· οἱ δὲ μαθηταὶ αὐτοῦ ἐπείνασαν καὶ ἤρξαντο τίλλειν στάχυας καὶ ἐσθίειν.
Mark 2:24	Matt 12:2	0.547861	matt_expands;substitution;reordering	5	3	4	δε;οραω;ιδου;ο;μαθητης;συ;ποιεω;εν;σαββατον	και;ιδε;τις;ο;σαββατον	ο;σαββατον	καὶ οἱ Φαρισαῖοι ἔλεγον αὐτῷ· Ἴδε τί ⸀ποιοῦσιν τοῖς σάββασιν ὃ οὐκ ἔξεστιν;	οἱ δὲ Φαρισαῖοι ἰδόντες εἶπαν αὐτῷ· Ἰδοὺ οἱ μαθηταί σου ποιοῦσιν ὃ οὐκ ἔξεστιν ποιεῖν ἐν σαββάτῳ.
Mark 2:25	Matt 12:3	0.539691	mark_expands;substitution	0	4	3	ο;δε;ου	και;ουδεποτε;χρεια;εχω;και;αυτος		καὶ ⸀λέγει αὐτοῖς· Οὐδέποτε ἀνέγνωτε τί ἐποίησεν Δαυὶδ ὅτε χρείαν ἔσχεν καὶ ἐπείνασεν αὐτὸς καὶ οἱ μετʼ αὐτοῦ;	ὁ δὲ εἶπεν αὐτοῖς· Οὐκ ἀνέγνωτε τί ἐποίησεν Δαυὶδ ὅτε ⸀ἐπείνασεν καὶ οἱ μετʼ αὐτοῦ;
