mark_ref,matt_ref,macro_block,micro_block,score,wj_content,wj_bigram,sr_content,wj_all,rare_inter,pair_classes,lemma_insertions,lemma_deletions,lemma_replacements,lemma_moved_tokens,common_lemmas,mark_only_lemmas,matt_only_lemmas,mark_variant_note_count,matt_variant_note_count,mark_text,matt_text
Mark 1:17,Matt 4:19,3,4,0.658052,0.767972,0.254322,0.833333,0.822176,22.12112,mark_expands,0,3,0,,αλιευς;ανθρωπος;αυτος;δευτε;εγω;και;λεγω;οπισω;ποιεω;συ,γινομαι;ιησους;ο,,0,0,"καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων.","καὶ λέγει αὐτοῖς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς ἁλιεῖς ἀνθρώπων."
Mark 1:18,Matt 4:20,3,4,0.601287,0.602114,0.493211,0.75,0.570332,15.761292,substitution,0,0,3,,ακολουθεω;αυτος;αφιημι;δικτυον;ο,ευθυς;και,δε;ευθεως,2,0,καὶ ⸀εὐθὺς ἀφέντες τὰ ⸀δίκτυα ἠκολούθησαν αὐτῷ.,οἱ δὲ εὐθέως ἀφέντες τὰ δίκτυα ἠκολούθησαν αὐτῷ.
Mark 1:19,Matt 4:21,3,4,0.509798,0.598332,0.176919,0.666667,0.629855,50.749896,matt_expands;reordering,12,2,1,αυτος;και,αδελφος;αυτος;δικτυον;εν;ζεβεδαιος;ιακωβος;ιωαννης;και;καταρτιζω;ο;οραω;πλοιον;προβαινω,ολιγος,αλλος;δυο;εκειθεν;καλεω;μετα;πατηρ,1,0,"καὶ ⸀προβὰς ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα,","Καὶ προβὰς ἐκεῖθεν εἶδεν ἄλλους δύο ἀδελφούς, Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, ἐν τῷ πλοίῳ μετὰ Ζεβεδαίου τοῦ πατρὸς αὐτῶν καταρτίζοντας τὰ δίκτυα αὐτῶν, καὶ ἐκάλεσεν αὐτούς."
Mark 1:20,Matt 4:22,3,4,0.202243,0.257809,0.0,0.307692,0.246908,13.399518,substitution;reordering,6,5,9,αφιημι;ο;πλοιον,αυτος;αφιημι;και;ο;πατηρ;πλοιον,απερχομαι;εν;ευθυς;ζεβεδαιος;καλεω;μετα;μισθωτος;οπισω,ακολουθεω;δε;ευθεως,1,0,καὶ ⸀εὐθὺς ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.,οἱ δὲ εὐθέως ἀφέντες τὸ πλοῖον καὶ τὸν πατέρα αὐτῶν ἠκολούθησαν αὐτῷ.
Mark 1:21,Matt 4:23,3,4,0.117302,0.113691,0.05355,0.2,0.127538,10.601219,matt_expands;substitution;reordering,17,0,7,και,διδασκω;και;ο;συναγωγη,εις;εισπορευομαι;ευθυς;καφαρναουμ;σαββατον,αυτος;βασιλεια;γαλιλαια;εν;ευαγγελιον;θεραπευω;κηρυσσω;λαος;μαλακια;νοσος;ολος;πας;περιαγω,2,1,Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ ⸀εὐθὺς τοῖς σάββασιν ⸂ἐδίδασκεν εἰς τὴν συναγωγήν⸃.,"Καὶ περιῆγεν ⸂ἐν ὅλῃ τῇ Γαλιλαίᾳ⸃, διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ."
Mark 1:22,Matt 7:29,4,5,0.714092,0.660097,0.704735,0.857143,0.694362,24.131079,mark_expands;reordering,1,6,0,αυτος,αυτος;γαρ;γραμματευς;διδασκω;ειμι;εξουσια;εχω;και;ο;ου;ως,διδαχη;εκπλησσομαι;επι,,0,1,"καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.",ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς ⸀αὐτῶν.
Mark 1:40,Matt 8:2,5,6,0.409025,0.438954,0.167669,0.625,0.445778,23.225621,mark_expands;substitution;reordering,0,5,6,λεπρος,αυτος;δυναμαι;εαν;εγω;θελω;καθαριζω;και;λεγω;λεπρος,γονυπετεω;ερχομαι;οτι;παρακαλεω;προς,ιδου;κυριος;προσερχομαι;προσκυνεω,1,1,Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι.,"καὶ ἰδοὺ λεπρὸς ⸀προσελθὼν προσεκύνει αὐτῷ λέγων· Κύριε, ἐὰν θέλῃς δύνασαί με καθαρίσαι."
Mark 1:41,Matt 8:3,5,6,0.607865,0.589874,0.521551,0.75,0.620343,28.82485,matt_expands;reordering,7,4,0,απτω;αυτος;και,απτω;αυτος;εκτεινω;θελω;καθαριζω;και;λεγω;ο;χειρ,οργιζομαι,ευθεως;λεπρα,3,1,"⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι·","καὶ ἐκτείνας τὴν χεῖρα ἥψατο ⸀αὐτοῦ λέγων· Θέλω, καθαρίσθητι· καὶ εὐθέως ἐκαθαρίσθη αὐτοῦ ἡ λέπρα."
Mark 1:44,Matt 8:4,5,7,0.712436,0.761572,0.499588,0.846154,0.756006,54.491776,substitution,2,2,2,,αλλα;αυτος;δεικνυμι;εις;ιερευς;και;λεγω;μαρτυριον;μηδεις;μωυσης;ο;οραω;ος;προστασσω;προσφερω;σεαυτου;υπαγω,καθαρισμος;περι;συ,δωρον;ιησους,0,0,"καὶ λέγει αὐτῷ· Ὅρα μηδενὶ μηδὲν εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς.","καὶ λέγει αὐτῷ ὁ Ἰησοῦς· Ὅρα μηδενὶ εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ, καὶ προσένεγκον τὸ δῶρον ὃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς."
Mark 2:1,Matt 8:5,5,7,0.186444,0.221405,0.0,0.333333,0.201446,10.703002,substitution,0,1,9,,εις;εισερχομαι;καφαρναουμ,ακουω;δια;ειμι;εν;ημερα;και;οικος;οτι;παλιν,αυτος;δε;εκατονταρχος;παρακαλεω;προσερχομαι,3,1,Καὶ ⸀εἰσελθὼν πάλιν εἰς Καφαρναοὺμ διʼ ⸀ἡμερῶν ἠκούσθη ὅτι ⸂ἐν οἴκῳ⸃ ἐστίν·,⸂Εἰσελθόντος δὲ αὐτοῦ⸃ εἰς Καφαρναοὺμ προσῆλθεν αὐτῷ ἑκατόνταρχος παρακαλῶν αὐτὸν
Mark 2:5,Matt 9:2,6,8,0.590619,0.60537,0.432281,0.761905,0.577511,36.074777,matt_expands,9,0,0,,αμαρτια;αυτος;αφιημι;ιησους;και;λεγω;ο;οραω;παραλυτικος;πιστις;συ;τεκνον,,βαλλω;επι;θαρσεω;ιδου;κλινη;προσφερω,3,2,"⸂καὶ ἰδὼν⸃ ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ παραλυτικῷ· Τέκνον, ⸂ἀφίενταί σου⸃ αἱ ⸀ἁμαρτίαι.","Καὶ ἰδοὺ προσέφερον αὐτῷ παραλυτικὸν ἐπὶ κλίνης βεβλημένον. καὶ ἰδὼν ὁ Ἰησοῦς τὴν πίστιν αὐτῶν εἶπεν τῷ παραλυτικῷ· Θάρσει, τέκνον· ⸀ἀφίενταί ⸂σου αἱ ἁμαρτίαι⸃."
Mark 2:6,Matt 9:3,6,8,0.109288,0.106432,0.0,0.2,0.213936,4.6786,substitution;reordering,0,0,9,και,γραμματευς;εν;και;ο;τις,αυτος;δε;διαλογιζομαι;ειμι;εκει;καθημαι;καρδια,βλασφημεω;εαυτου;ιδου;λεγω;ουτος,0,0,ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν·,καὶ ἰδού τινες τῶν γραμματέων εἶπαν ἐν ἑαυτοῖς· Οὗτος βλασφημεῖ.
Mark 2:8,Matt 9:4,6,8,0.159573,0.150609,0.0,0.352941,0.212107,10.157676,mark_expands;substitution,0,5,7,,αυτος;εν;ιησους;και;καρδια;λεγω;ο;συ,διαλογιζομαι;εαυτου;επιγινωσκω;ευθυς;οτι;ουτος;ουτως;πνευμα;τις,ενθυμεομαι;ενθυμησις;ινατι;οραω;πονηρος,3,2,καὶ ⸀εὐθὺς ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι ⸀οὕτως διαλογίζονται ἐν ἑαυτοῖς ⸀λέγει αὐτοῖς· Τί ταῦτα διαλογίζεσθε ἐν ταῖς καρδίαις ὑμῶν;,καὶ ⸀εἰδὼς ὁ Ἰησοῦς τὰς ἐνθυμήσεις αὐτῶν εἶπεν· ⸀Ἱνατί ἐνθυμεῖσθε πονηρὰ ἐν ταῖς καρδίαις ὑμῶν;
Mark 2:9,Matt 9:5,6,8,0.625912,0.639812,0.407831,0.842105,0.676179,31.272501,mark_expands,1,7,0,,αμαρτια;αφιημι;εγειρω;ειμι;ευκοπωτερος;η;και;λεγω;ο;περιπατεω;συ;τις,αιρω;κραβαττος;παραλυτικος,γαρ,3,2,"τί ἐστιν εὐκοπώτερον, εἰπεῖν τῷ παραλυτικῷ· ⸀Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ⸀Ἔγειρε καὶ ἆρον ⸂τὸν κράβαττόν σου⸃ καὶ περιπάτει;","τί γάρ ἐστιν εὐκοπώτερον, εἰπεῖν· ⸀Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ⸀Ἔγειρε καὶ περιπάτει;"
Mark 2:10,Matt 9:6,6,8,0.601217,0.591498,0.480537,0.769231,0.610624,43.525895,matt_expands,12,0,0,,αμαρτια;ανθρωπος;αφιημι;γη;δε;εξουσια;επι;εχω;ινα;λεγω;ο;οιδα;οτι;παραλυτικος;υιος,,αιρω;εγειρω;εις;και;κλινη;οικος;συ;τοτε;υπαγω,1,1,ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ⸂ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας⸃— λέγει τῷ παραλυτικῷ·,ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας— τότε λέγει τῷ παραλυτικῷ· ⸀Ἐγερθεὶς ἆρόν σου τὴν κλίνην καὶ ὕπαγε εἰς τὸν οἶκόν σου.
Mark 2:11,Matt 9:7,6,8,0.260199,0.301702,0.0,0.444444,0.355439,9.809184,substitution;reordering,0,0,9,και,εγειρω;εις;και;ο;οικος,αιρω;κραβαττος;λεγω;συ;υπαγω,απερχομαι;αυτος,1,0,"Σοὶ λέγω, ⸀ἔγειρε ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου.",καὶ ἐγερθεὶς ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ.
Mark 2:12,Matt 9:8,6,8,0.141355,0.171079,0.049968,0.181818,0.155138,14.341772,substitution;reordering,0,0,18,οραω,δοξαζω;θεος;και;ο;οραω,αιρω;εγειρω;εμπροσθεν;εξερχομαι;εξιστημι;ευθυς;κραβαττος;λεγω;οτι;ουδεποτε;ουτως;πας;ωστε,ανθρωπος;δε;διδωμι;εξουσια;οχλος;τοιουτος;φοβεομαι,3,1,"καὶ ἠγέρθη ⸂καὶ εὐθὺς⸃ ἄρας τὸν κράβαττον ἐξῆλθεν ⸀ἔμπροσθεν πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν λέγοντας ὅτι ⸂Οὕτως οὐδέποτε⸃ εἴδομεν.",ἰδόντες δὲ οἱ ὄχλοι ⸀ἐφοβήθησαν καὶ ἐδόξασαν τὸν θεὸν τὸν δόντα ἐξουσίαν τοιαύτην τοῖς ἀνθρώποις.
Mark 2:14,Matt 9:9,6,8,0.480507,0.505304,0.228738,0.695652,0.56805,34.68023,matt_expands;substitution;reordering,5,0,4,ο,ακολουθεω;ανιστημι;αυτος;εγω;επι;καθημαι;και;λεγω;ο;οραω;παραγω;τελωνιον,αλφαιος;λευι,ανθρωπος;εκειθεν;ιησους;μαθθαιος,0,0,"καὶ παράγων εἶδεν Λευὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ τὸ τελώνιον, καὶ λέγει αὐτῷ· Ἀκολούθει μοι. καὶ ἀναστὰς ἠκολούθησεν αὐτῷ.","Καὶ παράγων ὁ Ἰησοῦς ἐκεῖθεν εἶδεν ἄνθρωπον καθήμενον ἐπὶ τὸ τελώνιον, Μαθθαῖον λεγόμενον, καὶ λέγει αὐτῷ· Ἀκολούθει μοι· καὶ ἀναστὰς ἠκολούθησεν αὐτῷ."
Mark 2:15,Matt 9:10,6,8,0.561783,0.617693,0.317694,0.727273,0.589437,37.931893,mark_expands,3,8,0,,αμαρτωλος;αυτος;γινομαι;εν;ιησους;και;μαθητης;ο;οικια;πολυς;συνανακειμαι;τελωνης,ακολουθεω;γαρ;ειμι;κατακειμαι,ανακειμαι;ερχομαι;ιδου,2,1,"Καὶ ⸀γίνεται κατακεῖσθαι αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ, ἦσαν γὰρ πολλοὶ καὶ ⸀ἠκολούθουν αὐτῷ.","Καὶ ἐγένετο αὐτοῦ ἀνακειμένου ἐν τῇ οἰκίᾳ, ⸀καὶ ἰδοὺ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ ἐλθόντες συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ."
Mark 2:16,Matt 9:11,6,8,0.52239,0.654666,0.178759,0.6,0.631007,30.911844,mark_expands;substitution;reordering,3,8,4,ο;οραω,αμαρτωλος;αυτος;εσθιω;και;λεγω;μαθητης;μετα;ο;οραω;τελωνης;φαρισαιος,γραμματευς;οτι,δια;διδασκαλος;συ;τις,7,1,καὶ οἱ γραμματεῖς ⸂τῶν Φαρισαίων⸃ ⸀ἰδόντες ⸂ὅτι ἐσθίει⸃ μετὰ τῶν ⸂ἁμαρτωλῶν καὶ τελωνῶν⸃ ἔλεγον τοῖς μαθηταῖς αὐτοῦ· ⸀Ὅτι μετὰ τῶν ⸂τελωνῶν καὶ ἁμαρτωλῶν⸃ ⸀ἐσθίει;,καὶ ἰδόντες οἱ Φαρισαῖοι ⸀ἔλεγον τοῖς μαθηταῖς αὐτοῦ· Διὰ τί μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίει ὁ διδάσκαλος ὑμῶν;
Mark 2:17,Matt 9:12,6,8,0.60524,0.621009,0.470845,0.75,0.580744,37.720181,mark_expands;substitution;reordering,0,10,2,ο,ακουω;αλλα;εχω;ιατρος;ισχυω;κακως;λεγω;ο;ου;χρεια,αμαρτωλος;αυτος;δικαιος;ερχομαι;ιησους;και;καλεω;οτι,δε,2,2,καὶ ἀκούσας ὁ Ἰησοῦς λέγει αὐτοῖς ⸀ὅτι Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλʼ οἱ κακῶς ἔχοντες· οὐκ ἦλθον καλέσαι δικαίους ἀλλὰ ⸀ἁμαρτωλούς.,ὁ ⸀δὲ ἀκούσας ⸀εἶπεν· Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλὰ οἱ κακῶς ἔχοντες.
Mark 2:18,Matt 9:14,6,8,0.436739,0.500219,0.207985,0.518519,0.559404,24.030134,matt_expands;substitution;reordering,5,1,19,αυτος;δια;λεγω;τις,αυτος;δε;δια;ιωαννης;και;λεγω;μαθητης;νηστευω;ο;ου;τις;φαρισαιος,ειμι;ερχομαι;σος,εγω;πολυς;προσερχομαι;συ;τοτε,2,1,"Καὶ ἦσαν οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀Φαρισαῖοι νηστεύοντες. καὶ ἔρχονται καὶ λέγουσιν αὐτῷ· Διὰ τί οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀μαθηταὶ τῶν Φαρισαίων νηστεύουσιν, οἱ δὲ σοὶ μαθηταὶ οὐ νηστεύουσιν;","Τότε προσέρχονται αὐτῷ οἱ μαθηταὶ Ἰωάννου λέγοντες· Διὰ τί ἡμεῖς καὶ οἱ Φαρισαῖοι νηστεύομεν ⸀πολλά, οἱ δὲ μαθηταί σου οὐ νηστεύουσιν;"
Mark 2:20,Matt 9:15,6,8,0.519634,0.558494,0.399807,0.608696,0.466209,37.925774,matt_expands;reordering,19,4,0,ο,απαιρω;απο;αυτος;δε;ερχομαι;ημερα;και;νηστευω;νυμφιος;ο;οταν;τοτε,εκεινος;εν,δυναμαι;ειμι;επι;ιησους;λεγω;μετα;μη;νυμφων;οσος;πενθεω;υιος,1,0,"ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν ἐν ⸂ἐκείνῃ τῇ ἡμέρᾳ⸃.","καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος πενθεῖν ἐφʼ ὅσον μετʼ αὐτῶν ἐστιν ὁ νυμφίος; ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπʼ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν."
