book,ref,chapter,verse,token_count_morphgnt,content_token_count_morphgnt,normalized_tokens_morphgnt,content_tokens_morphgnt,lemma_tokens_all,lemma_tokens_content,pos_sequence,long_ending_status
Matt,Matt 1:11,1,11,13,6,ιωσιασ δε εγεννησεν τον ιεχονιαν και τουσ αδελφουσ αυτου επι τησ μετοικεσιασ βαβυλωνοσ,ιωσιασ εγεννησεν ιεχονιαν αδελφουσ μετοικεσιασ βαβυλωνοσ,ιωσιασ δε γενναω ο ιεχονιασ και ο αδελφοσ αυτοσ επι ο μετοικεσια βαβυλων,ιωσιασ γενναω ιεχονιασ αδελφοσ μετοικεσια βαβυλων,N- C- V- RA N- C- RA N- RP P- RA N- N-,main_text
Matt,Matt 1:12,1,12,14,8,μετα δε την μετοικεσιαν βαβυλωνοσ ιεχονιασ εγεννησεν τον σαλαθιηλ σαλαθιηλ δε εγεννησεν τον ζοροβαβελ,μετοικεσιαν βαβυλωνοσ ιεχονιασ εγεννησεν σαλαθιηλ σαλαθιηλ εγεννησεν ζοροβαβελ,μετα δε ο μετοικεσια βαβυλων ιεχονιασ γενναω ο σαλαθιηλ σαλαθιηλ δε γενναω ο ζοροβαβελ,μετοικεσια βαβυλων ιεχονιασ γενναω σαλαθιηλ σαλαθιηλ γενναω ζοροβαβελ,P- C- RA N- N- N- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:13,1,13,15,9,ζοροβαβελ δε εγεννησεν τον αβιουδ αβιουδ δε εγεννησεν τον ελιακιμ ελιακιμ δε εγεννησεν τον αζωρ,ζοροβαβελ εγεννησεν αβιουδ αβιουδ εγεννησεν ελιακιμ ελιακιμ εγεννησεν αζωρ,ζοροβαβελ δε γενναω ο αβιουδ αβιουδ δε γενναω ο ελιακιμ ελιακιμ δε γενναω ο αζωρ,ζοροβαβελ γενναω αβιουδ αβιουδ γενναω ελιακιμ ελιακιμ γενναω αζωρ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:14,1,14,15,9,αζωρ δε εγεννησεν τον σαδωκ σαδωκ δε εγεννησεν τον αχιμ αχιμ δε εγεννησεν τον ελιουδ,αζωρ εγεννησεν σαδωκ σαδωκ εγεννησεν αχιμ αχιμ εγεννησεν ελιουδ,αζωρ δε γενναω ο σαδωκ σαδωκ δε γενναω ο αχιμ αχιμ δε γενναω ο ελιουδ,αζωρ γενναω σαδωκ σαδωκ γενναω αχιμ αχιμ γενναω ελιουδ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:15,1,15,15,9,ελιουδ δε εγεννησεν τον ελεαζαρ ελεαζαρ δε εγεννησεν τον ματθαν ματθαν δε εγεννησεν τον ιακωβ,ελιουδ εγεννησεν ελεαζαρ ελεαζαρ εγεννησεν ματθαν ματθαν εγεννησεν ιακωβ,ελιουδ δε γενναω ο ελεαζαρ ελεαζαρ δε γενναω ο ματθαν ματθαν δε γενναω ο ιακωβ,ελιουδ γενναω ελεαζαρ ελεαζαρ γενναω ματθαν ματθαν γενναω ιακωβ,N- C- V- RA N- N- C- V- RA N- N- C- V- RA N-,main_text
Matt,Matt 1:16,1,16,15,9,ιακωβ δε εγεννησεν τον ιωσηφ τον ανδρα μαριασ εκ ησ εγεννηθη ιησουσ ο λεγομενοσ χριστοσ,ιακωβ εγεννησεν ιωσηφ ανδρα μαριασ εγεννηθη ιησουσ λεγομενοσ χριστοσ,ιακωβ δε γενναω ο ιωσηφ ο ανηρ μαρια εκ οσ γενναω ιησουσ ο λεγω χριστοσ,ιακωβ γενναω ιωσηφ ανηρ μαρια γενναω ιησουσ λεγω χριστοσ,N- C- V- RA N- RA N- N- P- RR V- N- RA V- N-,main_text
Matt,Matt 1:17,1,17,29,16,πασαι ουν αι γενεαι απο αβρααμ εωσ δαυιδ γενεαι δεκατεσσαρεσ και απο δαυιδ εωσ τησ μετοικεσιασ βαβυλωνοσ γενεαι δεκατεσσαρεσ και απο τησ μετοικεσιασ βαβυλωνοσ εωσ του χριστου γενεαι δεκατεσσαρεσ,πασαι γενεαι αβρααμ δαυιδ γενεαι δεκατεσσαρεσ δαυιδ μετοικεσιασ βαβυλωνοσ γενεαι δεκατεσσαρεσ μετοικεσιασ βαβυλωνοσ χριστου γενεαι δεκατεσσαρεσ,πασ ουν ο γενεα απο αβρααμ εωσ δαυιδ γενεα δεκατεσσαρεσ και απο δαυιδ εωσ ο μετοικεσια βαβυλων γενεα δεκατεσσαρεσ και απο ο μετοικεσια βαβυλων εωσ ο χριστοσ γενεα δεκατεσσαρεσ,πασ γενεα αβρααμ δαυιδ γενεα δεκατεσσαρεσ δαυιδ μετοικεσια βαβυλων γενεα δεκατεσσαρεσ μετοικεσια βαβυλων χριστοσ γενεα δεκατεσσαρεσ,A- C- RA N- P- N- P- N- N- A- C- P- N- P- RA N- N- N- A- C- P- RA N- N- P- RA N- N- A-,main_text
Matt,Matt 1:18,1,18,26,16,του δε ιησου χριστου η γενεσισ ουτωσ ην μνηστευθεισησ τησ μητροσ αυτου μαριασ τω ιωσηφ πριν η συνελθειν αυτουσ ευρεθη εν γαστρι εχουσα εκ πνευματοσ αγιου,ιησου χριστου γενεσισ ουτωσ ην μνηστευθεισησ μητροσ μαριασ ιωσηφ πριν συνελθειν ευρεθη γαστρι εχουσα πνευματοσ αγιου,ο δε ιησουσ χριστοσ ο γενεσισ ουτωσ ειμι μνηστευομαι ο μητηρ αυτοσ μαρια ο ιωσηφ πριν η συνερχομαι αυτοσ ευρισκω εν γαστηρ εχω εκ πνευμα αγιοσ,ιησουσ χριστοσ γενεσισ ουτωσ ειμι μνηστευομαι μητηρ μαρια ιωσηφ πριν συνερχομαι ευρισκω γαστηρ εχω πνευμα αγιοσ,RA C- N- N- RA N- D- V- V- RA N- RP N- RA N- D- C- V- RP V- P- N- V- P- N- A-,main_text
Matt,Matt 1:19,1,19,16,10,ιωσηφ δε ο ανηρ αυτησ δικαιοσ ων και μη θελων αυτην δειγματισαι εβουληθη λαθρα απολυσαι αυτην,ιωσηφ ανηρ δικαιοσ ων μη θελων δειγματισαι εβουληθη λαθρα απολυσαι,ιωσηφ δε ο ανηρ αυτοσ δικαιοσ ειμι και μη θελω αυτοσ δειγματιζω βουλομαι λαθρα απολυω αυτοσ,ιωσηφ ανηρ δικαιοσ ειμι μη θελω δειγματιζω βουλομαι λαθρα απολυω,N- C- RA N- RP A- V- C- D- V- RP V- V- D- V- RP,main_text
Matt,Matt 1:20,1,20,31,18,ταυτα δε αυτου ενθυμηθεντοσ ιδου αγγελοσ κυριου κατα οναρ εφανη αυτω λεγων ιωσηφ υιοσ δαυιδ μη φοβηθησ παραλαβειν μαριαν την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματοσ εστιν αγιου,ενθυμηθεντοσ αγγελοσ κυριου οναρ εφανη λεγων ιωσηφ υιοσ δαυιδ μη φοβηθησ παραλαβειν μαριαν γυναικα γεννηθεν πνευματοσ εστιν αγιου,ουτοσ δε αυτοσ ενθυμεομαι ιδου αγγελοσ κυριοσ κατα οναρ φαινω αυτοσ λεγω ιωσηφ υιοσ δαυιδ μη φοβεομαι παραλαμβανω μαρια ο γυνη συ ο γαρ εν αυτοσ γενναω εκ πνευμα ειμι αγιοσ,ενθυμεομαι αγγελοσ κυριοσ οναρ φαινω λεγω ιωσηφ υιοσ δαυιδ μη φοβεομαι παραλαμβανω μαρια γυνη γενναω πνευμα ειμι αγιοσ,RD C- RP V- X- N- N- P- N- V- RP V- N- N- N- D- V- V- N- RA N- RP RA C- P- RP V- P- N- V- A-,main_text
Matt,Matt 1:21,1,21,19,8,τεξεται δε υιον και καλεσεισ το ονομα αυτου ιησουν αυτοσ γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων,τεξεται υιον καλεσεισ ονομα ιησουν σωσει λαον αμαρτιων,τικτω δε υιοσ και καλεω ο ονομα αυτοσ ιησουσ αυτοσ γαρ σωζω ο λαοσ αυτοσ απο ο αμαρτια αυτοσ,τικτω υιοσ καλεω ονομα ιησουσ σωζω λαοσ αμαρτια,V- C- N- C- V- RA N- RP N- RP C- V- RA N- RP P- RA N- RP,main_text
Matt,Matt 1:22,1,22,14,7,τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντοσ,ολον γεγονεν πληρωθη ρηθεν κυριου προφητου λεγοντοσ,ουτοσ δε ολοσ γινομαι ινα πληροω ο λεγω υπο κυριοσ δια ο προφητησ λεγω,ολοσ γινομαι πληροω λεγω κυριοσ προφητησ λεγω,RD C- A- V- C- V- RA V- P- N- P- RA N- V-,main_text
Matt,Matt 1:23,1,23,22,11,ιδου η παρθενοσ εν γαστρι εξει και τεξεται υιον και καλεσουσιν το ονομα αυτου εμμανουηλ ο εστιν μεθερμηνευομενον μετα ημων ο θεοσ,παρθενοσ γαστρι εξει τεξεται υιον καλεσουσιν ονομα εμμανουηλ εστιν μεθερμηνευομενον θεοσ,ιδου ο παρθενοσ εν γαστηρ εχω και τικτω υιοσ και καλεω ο ονομα αυτοσ εμμανουηλ οσ ειμι μεθερμηνευω μετα εγω ο θεοσ,παρθενοσ γαστηρ εχω τικτω υιοσ καλεω ονομα εμμανουηλ ειμι μεθερμηνευω θεοσ,X- RA N- P- N- V- C- V- N- C- V- RA N- RP N- RR V- V- P- RP RA N-,main_text
Matt,Matt 1:24,1,24,19,9,εγερθεισ δε ο ιωσηφ απο του υπνου εποιησεν ωσ προσεταξεν αυτω ο αγγελοσ κυριου και παρελαβεν την γυναικα αυτου,εγερθεισ ιωσηφ υπνου εποιησεν προσεταξεν αγγελοσ κυριου παρελαβεν γυναικα,εγειρω δε ο ιωσηφ απο ο υπνοσ ποιεω ωσ προστασσω αυτοσ ο αγγελοσ κυριοσ και παραλαμβανω ο γυνη αυτοσ,εγειρω ιωσηφ υπνοσ ποιεω προστασσω αγγελοσ κυριοσ παραλαμβανω γυνη,V- C- RA N- P- RA N- V- C- V- RP RA N- N- C- V- RA N- RP,main_text
Matt,Matt 1:25,1,25,14,7,και ου εγινωσκεν αυτην εωσ ου ετεκεν υιον και εκαλεσεν το ονομα αυτου ιησουν,ου εγινωσκεν ετεκεν υιον εκαλεσεν ονομα ιησουν,και ου γινωσκω αυτοσ εωσ οσ τικτω υιοσ και καλεω ο ονομα αυτοσ ιησουσ,ου γινωσκω τικτω υιοσ καλεω ονομα ιησουσ,C- D- V- RP P- RR V- N- C- V- RA N- RP N-,main_text
Matt,Matt 2:1,2,1,20,11,του δε ιησου γεννηθεντοσ εν βηθλεεμ τησ ιουδαιασ εν ημεραισ ηρωδου του βασιλεωσ ιδου μαγοι απο ανατολων παρεγενοντο εισ ιεροσολυμα,ιησου γεννηθεντοσ βηθλεεμ ιουδαιασ ημεραισ ηρωδου βασιλεωσ μαγοι ανατολων παρεγενοντο ιεροσολυμα,ο δε ιησουσ γενναω εν βηθλεεμ ο ιουδαια εν ημερα ηρωδησ ο βασιλευσ ιδου μαγοσ απο ανατολη παραγινομαι εισ ιεροσολυμα,ιησουσ γενναω βηθλεεμ ιουδαια ημερα ηρωδησ βασιλευσ μαγοσ ανατολη παραγινομαι ιεροσολυμα,RA C- N- V- P- N- RA N- P- N- N- RA N- X- N- P- N- V- P- N-,main_text
Matt,Matt 2:2,2,2,20,11,λεγοντεσ που εστιν ο τεχθεισ βασιλευσ των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω,λεγοντεσ που εστιν τεχθεισ βασιλευσ ιουδαιων ειδομεν αστερα ανατολη ηλθομεν προσκυνησαι,λεγω που ειμι ο τικτω βασιλευσ ο ιουδαιοσ οραω γαρ αυτοσ ο αστηρ εν ο ανατολη και ερχομαι προσκυνεω αυτοσ,λεγω που ειμι τικτω βασιλευσ ιουδαιοσ οραω αστηρ ανατολη ερχομαι προσκυνεω,V- D- V- RA V- N- RA A- V- C- RP RA N- P- RA N- C- V- V- RP,main_text
Matt,Matt 2:3,2,3,11,6,ακουσασ δε ο βασιλευσ ηρωδησ εταραχθη και πασα ιεροσολυμα μετα αυτου,ακουσασ βασιλευσ ηρωδησ εταραχθη πασα ιεροσολυμα,ακουω δε ο βασιλευσ ηρωδησ ταρασσω και πασ ιεροσολυμα μετα αυτοσ,ακουω βασιλευσ ηρωδησ ταρασσω πασ ιεροσολυμα,V- C- RA N- N- V- C- A- N- P- RP,main_text
Matt,Matt 2:4,2,4,16,9,και συναγαγων παντασ τουσ αρχιερεισ και γραμματεισ του λαου επυνθανετο παρα αυτων που ο χριστοσ γενναται,συναγαγων παντασ αρχιερεισ γραμματεισ λαου επυνθανετο που χριστοσ γενναται,και συναγω πασ ο αρχιερευσ και γραμματευσ ο λαοσ πυνθανομαι παρα αυτοσ που ο χριστοσ γενναω,συναγω πασ αρχιερευσ γραμματευσ λαοσ πυνθανομαι που χριστοσ γενναω,C- V- A- RA N- C- N- RA N- V- P- RP D- RA N- V-,main_text
Matt,Matt 2:5,2,5,14,6,οι δε ειπαν αυτω εν βηθλεεμ τησ ιουδαιασ ουτωσ γαρ γεγραπται δια του προφητου,ειπαν βηθλεεμ ιουδαιασ ουτωσ γεγραπται προφητου,ο δε λεγω αυτοσ εν βηθλεεμ ο ιουδαια ουτωσ γαρ γραφω δια ο προφητησ,λεγω βηθλεεμ ιουδαια ουτωσ γραφω προφητησ,RA C- V- RP P- N- RA N- D- C- V- P- RA N-,main_text
Matt,Matt 2:6,2,6,24,13,και συ βηθλεεμ γη ιουδα ουδαμωσ ελαχιστη ει εν τοισ ηγεμοσιν ιουδα εκ σου γαρ εξελευσεται ηγουμενοσ οστισ ποιμανει τον λαον μου τον ισραηλ,βηθλεεμ γη ιουδα ουδαμωσ ελαχιστη ει ηγεμοσιν ιουδα εξελευσεται ηγουμενοσ ποιμανει λαον ισραηλ,και συ βηθλεεμ γη ιουδασ ουδαμωσ ελαχιστοσ ειμι εν ο ηγεμων ιουδασ εκ συ γαρ εξερχομαι ηγεομαι οστισ ποιμαινω ο λαοσ εγω ο ισραηλ,βηθλεεμ γη ιουδασ ουδαμωσ ελαχιστοσ ειμι ηγεμων ιουδασ εξερχομαι ηγεομαι ποιμαινω λαοσ ισραηλ,C- RP N- N- N- D- A- V- P- RA N- N- P- RP C- V- V- RR V- RA N- RP RA N-,main_text
Matt,Matt 2:7,2,7,14,9,τοτε ηρωδησ λαθρα καλεσασ τουσ μαγουσ ηκριβωσεν παρα αυτων τον χρονον του φαινομενου αστεροσ,τοτε ηρωδησ λαθρα καλεσασ μαγουσ ηκριβωσεν χρονον φαινομενου αστεροσ,τοτε ηρωδησ λαθρα καλεω ο μαγοσ ακριβοω παρα αυτοσ ο χρονοσ ο φαινω αστηρ,τοτε ηρωδησ λαθρα καλεω μαγοσ ακριβοω χρονοσ φαινω αστηρ,D- N- D- V- RA N- V- P- RP RA N- RA V- N-,main_text
Matt,Matt 2:8,2,8,22,11,και πεμψασ αυτουσ εισ βηθλεεμ ειπεν πορευθεντεσ εξετασατε ακριβωσ περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπωσ καγω ελθων προσκυνησω αυτω,πεμψασ βηθλεεμ ειπεν πορευθεντεσ εξετασατε ακριβωσ παιδιου ευρητε απαγγειλατε ελθων προσκυνησω,και πεμπω αυτοσ εισ βηθλεεμ λεγω πορευομαι εξεταζω ακριβωσ περι ο παιδιον επαν δε ευρισκω απαγγελλω εγω οπωσ καγω ερχομαι προσκυνεω αυτοσ,πεμπω βηθλεεμ λεγω πορευομαι εξεταζω ακριβωσ παιδιον ευρισκω απαγγελλω ερχομαι προσκυνεω,C- V- RP P- N- V- V- V- D- P- RA N- C- C- V- V- RP C- RP V- V- RP,main_text
Matt,Matt 2:9,2,9,25,12,οι δε ακουσαντεσ του βασιλεωσ επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτουσ εωσ ελθων εσταθη επανω ου ην το παιδιον,ακουσαντεσ βασιλεωσ επορευθησαν αστηρ ειδον ανατολη προηγεν ελθων εσταθη ου ην παιδιον,ο δε ακουω ο βασιλευσ πορευομαι και ιδου ο αστηρ οσ οραω εν ο ανατολη προαγω αυτοσ εωσ ερχομαι ιστημι επανω ου ειμι ο παιδιον,ακουω βασιλευσ πορευομαι αστηρ οραω ανατολη προαγω ερχομαι ιστημι ου ειμι παιδιον,RA C- V- RA N- V- C- X- RA N- RR V- P- RA N- V- RP C- V- V- P- D- V- RA N-,main_text
Matt,Matt 2:10,2,10,8,6,ιδοντεσ δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα,ιδοντεσ αστερα εχαρησαν χαραν μεγαλην σφοδρα,οραω δε ο αστηρ χαιρω χαρα μεγασ σφοδρα,οραω αστηρ χαιρω χαρα μεγασ σφοδρα,V- C- RA N- V- N- A- D-,main_text
Matt,Matt 2:11,2,11,30,15,και ελθοντεσ εισ την οικιαν ειδον το παιδιον μετα μαριασ τησ μητροσ αυτου και πεσοντεσ προσεκυνησαν αυτω και ανοιξαντεσ τουσ θησαυρουσ αυτων προσηνεγκαν αυτω δωρα χρυσον και λιβανον και σμυρναν,ελθοντεσ οικιαν ειδον παιδιον μαριασ μητροσ πεσοντεσ προσεκυνησαν ανοιξαντεσ θησαυρουσ προσηνεγκαν δωρα χρυσον λιβανον σμυρναν,και ερχομαι εισ ο οικια οραω ο παιδιον μετα μαρια ο μητηρ αυτοσ και πιπτω προσκυνεω αυτοσ και ανοιγω ο θησαυροσ αυτοσ προσφερω αυτοσ δωρον χρυσοσ και λιβανοσ και σμυρνα,ερχομαι οικια οραω παιδιον μαρια μητηρ πιπτω προσκυνεω ανοιγω θησαυροσ προσφερω δωρον χρυσοσ λιβανοσ σμυρνα,C- V- P- RA N- V- RA N- P- N- RA N- RP C- V- V- RP C- V- RA N- RP V- RP N- N- C- N- C- N-,main_text
Matt,Matt 2:12,2,12,16,9,και χρηματισθεντεσ κατα οναρ μη ανακαμψαι προσ ηρωδην δια αλλησ οδου ανεχωρησαν εισ την χωραν αυτων,χρηματισθεντεσ οναρ μη ανακαμψαι ηρωδην αλλησ οδου ανεχωρησαν χωραν,και χρηματιζω κατα οναρ μη ανακαμπτω προσ ηρωδησ δια αλλοσ οδοσ αναχωρεω εισ ο χωρα αυτοσ,χρηματιζω οναρ μη ανακαμπτω ηρωδησ αλλοσ οδοσ αναχωρεω χωρα,C- V- P- N- D- V- P- N- P- A- N- V- P- RA N- RP,main_text
Matt,Matt 2:13,2,13,40,21,αναχωρησαντων δε αυτων ιδου αγγελοσ κυριου φαινεται κατα οναρ τω ιωσηφ λεγων εγερθεισ παραλαβε το παιδιον και την μητερα αυτου και φευγε εισ αιγυπτον και ισθι εκει εωσ αν ειπω σοι μελλει γαρ ηρωδησ ζητειν το παιδιον του απολεσαι αυτο,αναχωρησαντων αγγελοσ κυριου φαινεται οναρ ιωσηφ λεγων εγερθεισ παραλαβε παιδιον μητερα φευγε αιγυπτον ισθι εκει ειπω μελλει ηρωδησ ζητειν παιδιον απολεσαι,αναχωρεω δε αυτοσ ιδου αγγελοσ κυριοσ φαινω κατα οναρ ο ιωσηφ λεγω εγειρω παραλαμβανω ο παιδιον και ο μητηρ αυτοσ και φευγω εισ αιγυπτοσ και ειμι εκει εωσ αν λεγω συ μελλω γαρ ηρωδησ ζητεω ο παιδιον ο απολλυμι αυτοσ,αναχωρεω αγγελοσ κυριοσ φαινω οναρ ιωσηφ λεγω εγειρω παραλαμβανω παιδιον μητηρ φευγω αιγυπτοσ ειμι εκει λεγω μελλω ηρωδησ ζητεω παιδιον απολλυμι,V- C- RP X- N- N- V- P- N- RA N- V- V- V- RA N- C- RA N- RP C- V- P- N- C- V- D- C- X- V- RP V- C- N- V- RA N- RA V- RP,main_text
Matt,Matt 2:14,2,14,15,7,ο δε εγερθεισ παρελαβεν το παιδιον και την μητερα αυτου νυκτοσ και ανεχωρησεν εισ αιγυπτον,εγερθεισ παρελαβεν παιδιον μητερα νυκτοσ ανεχωρησεν αιγυπτον,ο δε εγειρω παραλαμβανω ο παιδιον και ο μητηρ αυτοσ νυξ και αναχωρεω εισ αιγυπτοσ,εγειρω παραλαμβανω παιδιον μητηρ νυξ αναχωρεω αιγυπτοσ,RA C- V- V- RA N- C- RA N- RP N- C- V- P- N-,main_text
Matt,Matt 2:15,2,15,23,12,και ην εκει εωσ τησ τελευτησ ηρωδου ινα πληρωθη το ρηθεν υπο κυριου δια του προφητου λεγοντοσ εκ αιγυπτου εκαλεσα τον υιον μου,ην εκει τελευτησ ηρωδου πληρωθη ρηθεν κυριου προφητου λεγοντοσ αιγυπτου εκαλεσα υιον,και ειμι εκει εωσ ο τελευτη ηρωδησ ινα πληροω ο λεγω υπο κυριοσ δια ο προφητησ λεγω εκ αιγυπτοσ καλεω ο υιοσ εγω,ειμι εκει τελευτη ηρωδησ πληροω λεγω κυριοσ προφητησ λεγω αιγυπτοσ καλεω υιοσ,C- V- D- P- RA N- N- C- V- RA V- P- N- P- RA N- V- P- N- V- RA N- RP,main_text
