direction_id,pair,source,target,source_ref,target_ref,score,pair_classes,source_token_count,target_token_count,shared_content_token_count,token_jaccard,max_exact_run_len,max_exact_run,target_inserted_or_source_absent_tokens,source_deleted_or_target_absent_tokens,lemma_replacements_or_substitutions,moved_lemmas,source_text,target_text,directional_reading
luke_used_mark,Mark↔Luke,Mark,Luke,Mark 6:41,Luke 9:16,0.6574,primary_chain,24,18,14,0.6667,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,αυτουσ;οχλω;παραθειναι,αυτοισ;εμερισεν;παρατιθωσιν;πασιν,,,"καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.",λαβὼν δὲ τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν αὐτοὺς καὶ κατέκλασεν καὶ ἐδίδου τοῖς μαθηταῖς ⸀παραθεῖναι τῷ ὄχλῳ.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_luke,Mark↔Luke,Luke,Mark,Luke 9:16,Mark 6:41,0.6574,primary_chain,18,24,14,0.6667,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,αυτοισ;εμερισεν;παρατιθωσιν;πασιν,αυτουσ;οχλω;παραθειναι,,,λαβὼν δὲ τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν αὐτοὺς καὶ κατέκλασεν καὶ ἐδίδου τοῖς μαθηταῖς ⸀παραθεῖναι τῷ ὄχλῳ.,"καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 9:16,Matt 14:19,0.573559,matt_expands,18,25,12,0.48,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,ανακλιθηναι;εδωκεν;κελευσασ;κλασασ;μαθηται;οχλοισ;οχλουσ;χορτου,αυτουσ;εδιδου;κατεκλασεν;οχλω;παραθειναι,2,δέ;ὄχλος;λαμβάνω;δύο;εἰς;εὐλογέω;οὐρανός;πέντε;ἀναβλέπω;ἄρτος;ἰχθύς;δίδωμι;καί;μαθητής,λαβὼν δὲ τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν αὐτοὺς καὶ κατέκλασεν καὶ ἐδίδου τοῖς μαθηταῖς ⸀παραθεῖναι τῷ ὄχλῳ.,"καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 14:19,Luke 9:16,0.573559,matt_expands,25,18,12,0.48,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,αυτουσ;εδιδου;κατεκλασεν;οχλω;παραθειναι,ανακλιθηναι;εδωκεν;κελευσασ;κλασασ;μαθηται;οχλοισ;οχλουσ;χορτου,2,δέ;ὄχλος;λαμβάνω;δύο;εἰς;εὐλογέω;οὐρανός;πέντε;ἀναβλέπω;ἄρτος;ἰχθύς;δίδωμι;καί;μαθητής,"καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις.",λαβὼν δὲ τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν αὐτοὺς καὶ κατέκλασεν καὶ ἐδίδου τοῖς μαθηταῖς ⸀παραθεῖναι τῷ ὄχλῳ.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_matthew,Matthew↔Luke,Matthew,Luke,Matt 16:25,Luke 9:24,0.831073,partial_overlap,13,14,9,0.75,11,οσ θελη ψυχην σωσαι απολεσει αυτην οσ απολεση ψυχην ενεκεν εμου,ουτοσ;σωσει,ευρησει,2,ἄν,ὃς γὰρ ⸀ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δ’ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.,"ὃς γὰρ ⸀ἂν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι, ἀπολέσει αὐτήν· ὃς δ’ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ, οὗτος σώσει αὐτήν.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_luke,Matthew↔Luke,Luke,Matthew,Luke 9:24,Matt 16:25,0.831073,partial_overlap,14,13,9,0.75,11,οσ θελη ψυχην σωσαι απολεσει αυτην οσ απολεση ψυχην ενεκεν εμου,ευρησει,ουτοσ;σωσει,2,ἄν,"ὃς γὰρ ⸀ἂν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι, ἀπολέσει αὐτήν· ὃς δ’ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ, οὗτος σώσει αὐτήν.",ὃς γὰρ ⸀ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ σῶσαι ἀπολέσει αὐτήν· ὃς δ’ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_mark,Mark↔Matthew,Mark,Matthew,Mark 6:41,Matt 14:19,0.453166,matt_expands;substitution;reordering,24,25,12,0.4615,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,ανακλιθηναι;εδωκεν;κελευσασ;κλασασ;μαθηται;οχλοισ;οχλουσ;χορτου,αυτοισ;εδιδου;εμερισεν;κατεκλασεν;παρατιθωσιν;πασιν,10,αρτος;ο,"καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.","καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_matthew,Mark↔Matthew,Matthew,Mark,Matt 14:19,Mark 6:41,0.453166,matt_expands;substitution;reordering,25,24,12,0.4615,11,λαβων τουσ πεντε αρτουσ τουσ δυο ιχθυασ αναβλεψασ εισ ουρανον ευλογησεν,αυτοισ;εδιδου;εμερισεν;κατεκλασεν;παρατιθωσιν;πασιν,ανακλιθηναι;εδωκεν;κελευσασ;κλασασ;μαθηται;οχλοισ;οχλουσ;χορτου,10,αρτος;ο,"καὶ κελεύσας τοὺς ὄχλους ἀνακλιθῆναι ἐπὶ ⸂τοῦ χόρτου⸃, λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας, ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κλάσας ἔδωκεν τοῖς μαθηταῖς τοὺς ἄρτους οἱ δὲ μαθηταὶ τοῖς ὄχλοις.","καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_mark,Mark↔Luke,Mark,Luke,Mark 10:15,Luke 18:17,1.0,primary_chain,10,10,10,1.0,10,αμην λεγω οσ δεξηται βασιλειαν ωσ παιδιον εισελθη εισ αυτην,,,,,"ἀμὴν λέγω ὑμῖν, ὃς ⸀ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν.","ἀμὴν λέγω ὑμῖν, ὃς ⸀ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_luke,Mark↔Luke,Luke,Mark,Luke 9:22,Mark 8:31,0.5942,primary_chain,14,16,10,0.5,10,δει υιον ανθρωπου πολλα παθειν αποδοκιμασθηναι πρεσβυτερων αρχιερεων γραμματεων αποκτανθηναι,αναστηναι;αυτουσ;διδασκειν;ημερασ;ηρξατο;τρεισ,εγερθηναι;ειπων;ημερα;τριτη,,,εἰπὼν ὅτι Δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῶν πρεσβυτέρων καὶ ἀρχιερέων καὶ γραμματέων καὶ ἀποκτανθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ⸀ἐγερθῆναι.,Καὶ ἤρξατο διδάσκειν αὐτοὺς ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ⸀ὑπὸ τῶν πρεσβυτέρων καὶ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ ἀποκτανθῆναι καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι·,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
matthew_used_mark,Mark↔Matthew,Mark,Matthew,Mark 10:45,Matt 20:28,0.908783,substitution,10,11,10,0.9091,10,υιοσ ανθρωπου ηλθεν διακονηθηναι αλλα διακονησαι δουναι ψυχην λυτρον πολλων,ωσπερ,,2,,καὶ γὰρ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.,ὥσπερ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_matthew,Mark↔Matthew,Matthew,Mark,Matt 20:28,Mark 10:45,0.908783,substitution,11,10,10,0.9091,10,υιοσ ανθρωπου ηλθεν διακονηθηναι αλλα διακονησαι δουναι ψυχην λυτρον πολλων,,ωσπερ,2,,ὥσπερ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.,καὶ γὰρ ὁ υἱὸς τοῦ ἀνθρώπου οὐκ ἦλθεν διακονηθῆναι ἀλλὰ διακονῆσαι καὶ δοῦναι τὴν ψυχὴν αὐτοῦ λύτρον ἀντὶ πολλῶν.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_luke,Mark↔Luke,Luke,Mark,Luke 18:17,Mark 10:15,1.0,primary_chain,10,10,10,1.0,10,αμην λεγω οσ δεξηται βασιλειαν ωσ παιδιον εισελθη εισ αυτην,,,,,"ἀμὴν λέγω ὑμῖν, ὃς ⸀ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν.","ἀμὴν λέγω ὑμῖν, ὃς ⸀ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς παιδίον, οὐ μὴ εἰσέλθῃ εἰς αὐτήν.",Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
luke_used_mark,Mark↔Luke,Mark,Luke,Mark 8:31,Luke 9:22,0.5942,primary_chain,16,14,10,0.5,10,δει υιον ανθρωπου πολλα παθειν αποδοκιμασθηναι πρεσβυτερων αρχιερεων γραμματεων αποκτανθηναι,εγερθηναι;ειπων;ημερα;τριτη,αναστηναι;αυτουσ;διδασκειν;ημερασ;ηρξατο;τρεισ,,,Καὶ ἤρξατο διδάσκειν αὐτοὺς ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ⸀ὑπὸ τῶν πρεσβυτέρων καὶ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ ἀποκτανθῆναι καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι·,εἰπὼν ὅτι Δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ἀπὸ τῶν πρεσβυτέρων καὶ ἀρχιερέων καὶ γραμματέων καὶ ἀποκτανθῆναι καὶ τῇ τρίτῃ ἡμέρᾳ ⸀ἐγερθῆναι.,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
mark_used_matthew,Mark↔Matthew,Matthew,Mark,Matt 9:6,Mark 2:10,0.601217,matt_expands,16,10,10,0.625,10,ειδητε εξουσιαν εχει υιοσ ανθρωπου τησ γησ αφιεναι αμαρτιασ παραλυτικω,,αρον;εγερθεισ;εισ;κλινην;οικον;υπαγε,0,,ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας— τότε λέγει τῷ παραλυτικῷ· ⸀Ἐγερθεὶς ἆρόν σου τὴν κλίνην καὶ ὕπαγε εἰς τὸν οἶκόν σου.,ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ⸂ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας⸃— λέγει τῷ παραλυτικῷ·,Target changes source via insertion/deletion/substitution under this hypothesis; high differences are transformation burden.
