source_book,source_ref,target_book,target_ref,target_window_n_verses,rank_within_source,score,token_weighted_jaccard,stem_weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_bigrams,shared_trigrams,shared_fourgrams,shared_content_token_count,shared_content_tokens,source_text,target_text,negative_space_flags,formula_risk,case_priority_score
Eph,Eph 5:31,Matt,Matt 19:2-5,4,9.0,0.6247,0.2647,0.2627,19,0.9048,10,τη γυναικι αυτου και εσονται οι δυο εισ σαρκα μιαν,17,15,13,11,ανθρωποσ γυναικι δυο εισ εσονται καταλειψει μητερα μιαν πατερα σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","καὶ ἠκολούθησαν αὐτῷ ὄχλοι πολλοί, καὶ ἐθεράπευσεν αὐτοὺς ἐκεῖ. Καὶ προσῆλθον ⸀αὐτῷ Φαρισαῖοι πειράζοντες αὐτὸν καὶ ⸀λέγοντες· Εἰ ἔξεστιν ⸀ἀνθρώπῳ ἀπολῦσαι τὴν γυναῖκα αὐτοῦ κατὰ πᾶσαν αἰτίαν; ὁ δὲ ἀποκριθεὶς ⸀εἶπεν· Οὐκ ἀνέγνωτε ὅτι ὁ ⸀κτίσας ἀπʼ ἀρχῆς ἄρσεν καὶ θῆλυ ἐποίησεν αὐτοὺς καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν;",gen2_one_flesh,high,1.2597
Eph,Eph 5:31,Matt,Matt 19:5-8,4,10.0,0.6161,0.2482,0.246,19,0.9048,10,τη γυναικι αυτου και εσονται οι δυο εισ σαρκα μιαν,17,15,13,11,ανθρωποσ γυναικι δυο εισ εσονται καταλειψει μητερα μιαν πατερα σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν; ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω. λέγουσιν αὐτῷ· Τί οὖν Μωϋσῆς ἐνετείλατο δοῦναι βιβλίον ἀποστασίου καὶ ἀπολῦσαι ⸀αὐτήν; λέγει αὐτοῖς ὅτι Μωϋσῆς πρὸς τὴν σκληροκαρδίαν ὑμῶν ἐπέτρεψεν ὑμῖν ἀπολῦσαι τὰς γυναῖκας ὑμῶν, ἀπʼ ἀρχῆς δὲ οὐ γέγονεν οὕτως.",gen2_one_flesh,high,1.2511
Eph,Eph 5:31,Matt,Matt 19:4-7,4,11.0,0.6157,0.2474,0.2451,19,0.9048,10,τη γυναικι αυτου και εσονται οι δυο εισ σαρκα μιαν,17,15,13,11,ανθρωποσ γυναικι δυο εισ εσονται καταλειψει μητερα μιαν πατερα σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ὁ δὲ ἀποκριθεὶς ⸀εἶπεν· Οὐκ ἀνέγνωτε ὅτι ὁ ⸀κτίσας ἀπʼ ἀρχῆς ἄρσεν καὶ θῆλυ ἐποίησεν αὐτοὺς καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν; ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω. λέγουσιν αὐτῷ· Τί οὖν Μωϋσῆς ἐνετείλατο δοῦναι βιβλίον ἀποστασίου καὶ ἀπολῦσαι ⸀αὐτήν;",gen2_one_flesh,high,1.2507
Eph,Eph 5:31,Matt,Matt 19:3-6,4,,0.6111,0.2388,0.2363,19,0.9048,10,τη γυναικι αυτου και εσονται οι δυο εισ σαρκα μιαν,17,15,13,11,ανθρωποσ γυναικι δυο εισ εσονται καταλειψει μητερα μιαν πατερα σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","Καὶ προσῆλθον ⸀αὐτῷ Φαρισαῖοι πειράζοντες αὐτὸν καὶ ⸀λέγοντες· Εἰ ἔξεστιν ⸀ἀνθρώπῳ ἀπολῦσαι τὴν γυναῖκα αὐτοῦ κατὰ πᾶσαν αἰτίαν; ὁ δὲ ἀποκριθεὶς ⸀εἶπεν· Οὐκ ἀνέγνωτε ὅτι ὁ ⸀κτίσας ἀπʼ ἀρχῆς ἄρσεν καὶ θῆλυ ἐποίησεν αὐτοὺς καὶ εἶπεν· ⸀Ἕνεκα τούτου καταλείψει ἄνθρωπος τὸν πατέρα καὶ τὴν μητέρα καὶ ⸀κολληθήσεται τῇ γυναικὶ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν; ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω.",gen2_one_flesh,high,1.2461
Eph,Eph 5:31,Mark,Mark 10:7-8,2,4.0,0.6793,0.5386,0.5339,18,0.8571,8,αυτου και εσονται οι δυο εισ σαρκα μιαν,15,12,9,11,ανθρωποσ δυο εισ εσονται καταλειψει μητερα μιαν πατερα προσκολληθησεται σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ·",gen2_one_flesh,high,1.1093
Eph,Eph 5:31,Mark,Mark 10:7-9,3,8.0,0.6362,0.4558,0.4512,18,0.8571,8,αυτου και εσονται οι δυο εισ σαρκα μιαν,15,12,9,11,ανθρωποσ δυο εισ εσονται καταλειψει μητερα μιαν πατερα προσκολληθησεται σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ· ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω.",gen2_one_flesh,high,1.0662
Heb,Heb 1:13,Matt,Matt 22:44,1,6.0,0.6328,0.4635,0.4685,13,0.6842,10,καθου εκ δεξιων μου εωσ αν θω τουσ εχθρουσ σου,11,9,7,7,δεξιων εχθρουσ εωσ θω καθου ποδων τουσ,πρὸς τίνα δὲ τῶν ἀγγέλων εἴρηκέν ποτε· Κάθου ἐκ δεξιῶν μου ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου;,⸀Εἶπεν κύριος τῷ κυρίῳ μου· Κάθου ἐκ δεξιῶν μου ἕως ἂν θῶ τοὺς ἐχθρούς σου ⸀ὑποκάτω τῶν ποδῶν σου;,ps110_right_hand,high,1.0578
1Cor,1Cor 11:25,Luke,Luke 22:19-20,2,2.0,0.5695,0.4779,0.4692,16,0.5714,10,μετα το δειπνησαι λεγων τουτο το ποτηριον η καινη διαθηκη,15,11,8,12,αιματι αναμνησιν δειπνησαι διαθηκη εισ εμην εστιν καινη ποιειτε ποτηριον τουτο ωσαυτωσ,"ὡσαύτως καὶ τὸ ποτήριον μετὰ τὸ δειπνῆσαι, λέγων· Τοῦτο τὸ ποτήριον ἡ καινὴ διαθήκη ἐστὶν ἐν τῷ ἐμῷ αἵματι· τοῦτο ποιεῖτε, ὁσάκις ⸀ἐὰν πίνητε, εἰς τὴν ἐμὴν ἀνάμνησιν.","καὶ λαβὼν ἄρτον εὐχαριστήσας ἔκλασεν καὶ ἔδωκεν αὐτοῖς λέγων· Τοῦτό ἐστιν τὸ σῶμά μου ⸂[τὸ ὑπὲρ ὑμῶν διδόμενον· τοῦτο ποιεῖτε εἰς τὴν ἐμὴν ἀνάμνησιν. ⸄καὶ τὸ ποτήριον ὡσαύτως⸅ μετὰ τὸ δειπνῆσαι, λέγων· Τοῦτο τὸ ποτήριον ἡ καινὴ διαθήκη ἐν τῷ αἵματί μου, τὸ ὑπὲρ ὑμῶν ἐκχυννόμενον]⸃.",cup_new_covenant,high,1.0445
Eph,Eph 5:31,Mark,Mark 10:7-10,4,12.0,0.6113,0.4075,0.4039,18,0.8571,8,αυτου και εσονται οι δυο εισ σαρκα μιαν,15,12,9,11,ανθρωποσ δυο εισ εσονται καταλειψει μητερα μιαν πατερα προσκολληθησεται σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ· ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω. Καὶ ⸂εἰς τὴν οἰκίαν⸃ πάλιν οἱ μαθηταὶ ⸂περὶ τούτου⸃ ⸀ἐπηρώτων αὐτόν.",gen2_one_flesh,high,1.0413
Eph,Eph 5:31,Mark,Mark 10:6-8,3,,0.6092,0.4037,0.3992,18,0.8571,8,αυτου και εσονται οι δυο εισ σαρκα μιαν,15,12,9,11,ανθρωποσ δυο εισ εσονται καταλειψει μητερα μιαν πατερα προσκολληθησεται σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ἀπὸ δὲ ἀρχῆς κτίσεως ἄρσεν καὶ θῆλυ ἐποίησεν ⸀αὐτούς· ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ·",gen2_one_flesh,high,1.0392
Eph,Eph 5:31,Mark,Mark 10:6-9,4,,0.5841,0.3554,0.351,18,0.8571,8,αυτου και εσονται οι δυο εισ σαρκα μιαν,15,12,9,11,ανθρωποσ δυο εισ εσονται καταλειψει μητερα μιαν πατερα προσκολληθησεται σαρκα τουτου,"ἀντὶ τούτου καταλείψει ἄνθρωπος ⸀τὸν ⸀πατέρα καὶ ⸀τὴν μητέρα καὶ προσκολληθήσεται ⸂τῇ γυναικὶ⸃ αὐτοῦ, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν.","ἀπὸ δὲ ἀρχῆς κτίσεως ἄρσεν καὶ θῆλυ ἐποίησεν ⸀αὐτούς· ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα ⸂καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ⸃, καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν· ὥστε οὐκέτι εἰσὶν δύο ἀλλὰ μία σάρξ· ὃ οὖν ὁ θεὸς συνέζευξεν ἄνθρωπος μὴ χωριζέτω.",gen2_one_flesh,high,1.0141
